fam,n_cdr,n_re,median_cdr,median_re,raw_difference,comparable,robust,delta,database,ambition_view,Region,outcome,outcome_label,direction_coded_difference,favours,pooled_effect,pooled_favours,agrees
GCAM,7,1,16.801195001972722,30.39476675380801,13.593571751835288,TRUE,FALSE,-1,Full,1.5C,R10AFRICA,headcount_pct,Deprived headcount,-13.593571751835288,High-CDR,8.685244055971086,High-RE,FALSE
IMAGE,23,0,30.19766540840436,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,headcount_pct,Deprived headcount,NA,NA,8.685244055971086,High-RE,NA
MESSAGEix,25,3,18.703928747747664,14.991073736040974,-3.71285501170669,TRUE,TRUE,0.52,Full,1.5C,R10AFRICA,headcount_pct,Deprived headcount,3.71285501170669,High-RE,8.685244055971086,High-RE,TRUE
POLES,4,1,43.56980194827973,35.322846233330885,-8.246955714948847,TRUE,FALSE,1,Full,1.5C,R10AFRICA,headcount_pct,Deprived headcount,8.246955714948847,High-RE,8.685244055971086,High-RE,TRUE
REMIND,1,59,41.484566256559766,16.827847199774013,-24.656719056785754,TRUE,FALSE,1,Full,1.5C,R10AFRICA,headcount_pct,Deprived headcount,24.656719056785754,High-RE,8.685244055971086,High-RE,TRUE
WITCH,6,0,78.2092590858188,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,headcount_pct,Deprived headcount,NA,NA,8.685244055971086,High-RE,NA
AIM,1,0,80.6444,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,mort_per_1k,PM2.5 mortality,NA,NA,-3.0457124999999934,High-CDR,NA
GCAM,0,1,NA,81.344555,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,mort_per_1k,PM2.5 mortality,NA,NA,-3.0457124999999934,High-CDR,NA
IMAGE,14,0,79.26121499999999,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,mort_per_1k,PM2.5 mortality,NA,NA,-3.0457124999999934,High-CDR,NA
MESSAGEix,23,3,75.463835,73.48171,-1.9821249999999964,TRUE,TRUE,1,Full,1.5C,R10AFRICA,mort_per_1k,PM2.5 mortality,1.9821249999999964,High-RE,-3.0457124999999934,High-CDR,FALSE
POLES,4,0,71.09128999999999,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,mort_per_1k,PM2.5 mortality,NA,NA,-3.0457124999999934,High-CDR,NA
REMIND,0,35,NA,78.5115,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,mort_per_1k,PM2.5 mortality,NA,NA,-3.0457124999999934,High-CDR,NA
WITCH,6,0,66.83738500000001,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,mort_per_1k,PM2.5 mortality,NA,NA,-3.0457124999999934,High-CDR,NA
AIM,1,3,400.8437634996828,173.24662913415062,-227.59713436553216,TRUE,FALSE,-1,Full,1.5C,R10CHINA+,net_re_jobs_per_1k,Employment,-227.59713436553216,High-CDR,195.7369269882879,High-RE,FALSE
GCAM,0,1,NA,311.481911867411,NA,FALSE,FALSE,NA,Full,1.5C,R10CHINA+,net_re_jobs_per_1k,Employment,NA,NA,195.7369269882879,High-RE,NA
IMAGE,21,0,186.7321430371982,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10CHINA+,net_re_jobs_per_1k,Employment,NA,NA,195.7369269882879,High-RE,NA
MESSAGEix,25,3,170.81155863909584,369.6622621014769,198.8507034623811,TRUE,TRUE,1,Full,1.5C,R10CHINA+,net_re_jobs_per_1k,Employment,198.8507034623811,High-RE,195.7369269882879,High-RE,TRUE
POLES,4,1,194.65048416824897,263.4235142147362,68.77303004648724,TRUE,FALSE,1,Full,1.5C,R10CHINA+,net_re_jobs_per_1k,Employment,68.77303004648724,High-RE,195.7369269882879,High-RE,TRUE
REMIND,1,59,180.50581647130505,378.1802487597489,197.67443228844385,TRUE,FALSE,1,Full,1.5C,R10CHINA+,net_re_jobs_per_1k,Employment,197.67443228844385,High-RE,195.7369269882879,High-RE,TRUE
WITCH,6,0,304.4443480941908,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10CHINA+,net_re_jobs_per_1k,Employment,NA,NA,195.7369269882879,High-RE,NA
AIM,1,3,1.1987925448528645,0.9899627584470476,-0.20882978640581684,TRUE,FALSE,1,Full,1.5C,R10CHINA+,gap_GJ_pc,DLE gap,0.20882978640581684,High-RE,0.40325706732542765,High-RE,TRUE
GCAM,7,1,0.9805930527249422,0.738413645737902,-0.2421794069870402,TRUE,FALSE,1,Full,1.5C,R10CHINA+,gap_GJ_pc,DLE gap,0.2421794069870402,High-RE,0.40325706732542765,High-RE,TRUE
IMAGE,23,0,1.1113143207823832,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10CHINA+,gap_GJ_pc,DLE gap,NA,NA,0.40325706732542765,High-RE,NA
MESSAGEix,25,3,1.551842263977427,1.2379193835745788,-0.3139228804028482,TRUE,TRUE,0.44,Full,1.5C,R10CHINA+,gap_GJ_pc,DLE gap,0.3139228804028482,High-RE,0.40325706732542765,High-RE,TRUE
POLES,4,1,0.7525959305113665,0.8975526876210529,0.14495675710968636,TRUE,FALSE,-1,Full,1.5C,R10CHINA+,gap_GJ_pc,DLE gap,-0.14495675710968636,High-CDR,0.40325706732542765,High-RE,FALSE
REMIND,1,59,1.2352792100665146,0.7864566882826886,-0.4488225217838261,TRUE,FALSE,1,Full,1.5C,R10CHINA+,gap_GJ_pc,DLE gap,0.4488225217838261,High-RE,0.40325706732542765,High-RE,TRUE
WITCH,6,0,1.619612270714868,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10CHINA+,gap_GJ_pc,DLE gap,NA,NA,0.40325706732542765,High-RE,NA
AIM,1,3,0.572749693432806,0.49583197846470245,-0.07691771496810357,TRUE,FALSE,1,Full,1.5C,R10CHINA+,headcount_pct,Deprived headcount,0.07691771496810357,High-RE,0.2625722238445943,High-RE,TRUE
GCAM,7,1,0.5056770071008693,0.40006947159420564,-0.10560753550666363,TRUE,FALSE,1,Full,1.5C,R10CHINA+,headcount_pct,Deprived headcount,0.10560753550666363,High-RE,0.2625722238445943,High-RE,TRUE
IMAGE,23,0,0.644076850576199,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10CHINA+,headcount_pct,Deprived headcount,NA,NA,0.2625722238445943,High-RE,NA
MESSAGEix,25,3,0.8009207101827509,0.6099838946009528,-0.1909368155817981,TRUE,TRUE,0.52,Full,1.5C,R10CHINA+,headcount_pct,Deprived headcount,0.1909368155817981,High-RE,0.2625722238445943,High-RE,TRUE
POLES,4,1,0.45093350603172455,0.47103242708017706,0.02009892104845251,TRUE,FALSE,-0,Full,1.5C,R10CHINA+,headcount_pct,Deprived headcount,-0.02009892104845251,Tie,0.2625722238445943,High-RE,FALSE
REMIND,1,59,0.8341005088137254,0.3965235393376675,-0.43757696947605795,TRUE,FALSE,1,Full,1.5C,R10CHINA+,headcount_pct,Deprived headcount,0.43757696947605795,High-RE,0.2625722238445943,High-RE,TRUE
WITCH,6,0,0.7458277246141748,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10CHINA+,headcount_pct,Deprived headcount,NA,NA,0.2625722238445943,High-RE,NA
AIM,1,0,76.056,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10CHINA+,mort_per_1k,PM2.5 mortality,NA,NA,-1.2213250000000073,High-CDR,NA
GCAM,0,1,NA,89.119805,NA,FALSE,FALSE,NA,Full,1.5C,R10CHINA+,mort_per_1k,PM2.5 mortality,NA,NA,-1.2213250000000073,High-CDR,NA
IMAGE,14,0,88.53491,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10CHINA+,mort_per_1k,PM2.5 mortality,NA,NA,-1.2213250000000073,High-CDR,NA
MESSAGEix,23,3,69.290255,73.84503,4.554774999999992,TRUE,TRUE,-0.4782608695652174,Full,1.5C,R10CHINA+,mort_per_1k,PM2.5 mortality,-4.554774999999992,High-CDR,-1.2213250000000073,High-CDR,TRUE
POLES,4,0,74.667135,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10CHINA+,mort_per_1k,PM2.5 mortality,NA,NA,-1.2213250000000073,High-CDR,NA
REMIND,0,35,NA,77.369715,NA,FALSE,FALSE,NA,Full,1.5C,R10CHINA+,mort_per_1k,PM2.5 mortality,NA,NA,-1.2213250000000073,High-CDR,NA
WITCH,6,0,88.52867,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10CHINA+,mort_per_1k,PM2.5 mortality,NA,NA,-1.2213250000000073,High-CDR,NA
AIM,1,3,111.5995185941103,96.93628627332285,-14.663232320787444,TRUE,FALSE,-1,Full,1.5C,R10EUROPE,net_re_jobs_per_1k,Employment,-14.663232320787444,High-CDR,105.19059259612351,High-RE,FALSE
GCAM,0,1,NA,172.12902874069903,NA,FALSE,FALSE,NA,Full,1.5C,R10EUROPE,net_re_jobs_per_1k,Employment,NA,NA,105.19059259612351,High-RE,NA
IMAGE,21,0,35.840673900520784,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10EUROPE,net_re_jobs_per_1k,Employment,NA,NA,105.19059259612351,High-RE,NA
MESSAGEix,25,3,73.40644293940912,228.23525189135165,154.82880895194253,TRUE,TRUE,1,Full,1.5C,R10EUROPE,net_re_jobs_per_1k,Employment,154.82880895194253,High-RE,105.19059259612351,High-RE,TRUE
POLES,4,1,93.63832059884712,87.89183596777276,-5.7464846310743525,TRUE,FALSE,-1,Full,1.5C,R10EUROPE,net_re_jobs_per_1k,Employment,-5.7464846310743525,High-CDR,105.19059259612351,High-RE,FALSE
REMIND,1,59,70.45827626011226,171.09869577296908,100.64041951285682,TRUE,FALSE,1,Full,1.5C,R10EUROPE,net_re_jobs_per_1k,Employment,100.64041951285682,High-RE,105.19059259612351,High-RE,TRUE
WITCH,6,0,138.05350249354248,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10EUROPE,net_re_jobs_per_1k,Employment,NA,NA,105.19059259612351,High-RE,NA
AIM,1,3,2.6744623307131024,2.7650574685751477,0.09059513786204532,TRUE,FALSE,-0.3333333333333333,Full,1.5C,R10EUROPE,gap_GJ_pc,DLE gap,-0.09059513786204532,High-CDR,3.5574270635139142,High-RE,FALSE
GCAM,7,1,3.440313790318314,4.496269378318584,1.0559555880002702,TRUE,FALSE,-1,Full,1.5C,R10EUROPE,gap_GJ_pc,DLE gap,-1.0559555880002702,High-CDR,3.5574270635139142,High-RE,FALSE
IMAGE,23,0,8.762868599890457,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10EUROPE,gap_GJ_pc,DLE gap,NA,NA,3.5574270635139142,High-RE,NA
MESSAGEix,25,3,5.066565017335078,2.3539947254671834,-2.7125702918678947,TRUE,TRUE,0.52,Full,1.5C,R10EUROPE,gap_GJ_pc,DLE gap,2.7125702918678947,High-RE,3.5574270635139142,High-RE,TRUE
POLES,4,1,8.080720173170388,10.673128920142716,2.5924087469723283,TRUE,FALSE,-1,Full,1.5C,R10EUROPE,gap_GJ_pc,DLE gap,-2.5924087469723283,High-CDR,3.5574270635139142,High-RE,FALSE
REMIND,1,59,6.500856005651089,2.653661278256194,-3.847194727394895,TRUE,FALSE,0.9322033898305084,Full,1.5C,R10EUROPE,gap_GJ_pc,DLE gap,3.847194727394895,High-RE,3.5574270635139142,High-RE,TRUE
WITCH,6,0,6.380882835936715,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10EUROPE,gap_GJ_pc,DLE gap,NA,NA,3.5574270635139142,High-RE,NA
AIM,1,3,0.8156994151763689,0.8913101234342113,0.07561070825784244,TRUE,FALSE,-0.3333333333333333,Full,1.5C,R10EUROPE,headcount_pct,Deprived headcount,-0.07561070825784244,High-CDR,0.901927457654606,High-RE,FALSE
GCAM,7,1,1.1211772974249472,1.4764769814586414,0.35529968403369416,TRUE,FALSE,-1,Full,1.5C,R10EUROPE,headcount_pct,Deprived headcount,-0.35529968403369416,High-CDR,0.901927457654606,High-RE,FALSE
IMAGE,23,0,3.115553888243193,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10EUROPE,headcount_pct,Deprived headcount,NA,NA,0.901927457654606,High-RE,NA
MESSAGEix,25,3,1.572020991610303,0.7595769391662921,-0.8124440524440109,TRUE,TRUE,0.52,Full,1.5C,R10EUROPE,headcount_pct,Deprived headcount,0.8124440524440109,High-RE,0.901927457654606,High-RE,TRUE
POLES,4,1,3.0469860989274844,3.4435090327465354,0.396522933819051,TRUE,FALSE,-1,Full,1.5C,R10EUROPE,headcount_pct,Deprived headcount,-0.396522933819051,High-CDR,0.901927457654606,High-RE,FALSE
REMIND,1,59,2.625396096774221,0.9611782805831602,-1.6642178161910608,TRUE,FALSE,0.9322033898305084,Full,1.5C,R10EUROPE,headcount_pct,Deprived headcount,1.6642178161910608,High-RE,0.901927457654606,High-RE,TRUE
WITCH,6,0,1.7145664097350113,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10EUROPE,headcount_pct,Deprived headcount,NA,NA,0.901927457654606,High-RE,NA
AIM,1,0,15.759125,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10EUROPE,mort_per_1k,PM2.5 mortality,NA,NA,4.280647499999999,High-RE,NA
GCAM,0,1,NA,18.6016,NA,FALSE,FALSE,NA,Full,1.5C,R10EUROPE,mort_per_1k,PM2.5 mortality,NA,NA,4.280647499999999,High-RE,NA
IMAGE,14,0,18.375825,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10EUROPE,mort_per_1k,PM2.5 mortality,NA,NA,4.280647499999999,High-RE,NA
MESSAGEix,23,3,13.42011,14.420805,1.0006950000000003,TRUE,TRUE,-0.4782608695652174,Full,1.5C,R10EUROPE,mort_per_1k,PM2.5 mortality,-1.0006950000000003,High-CDR,4.280647499999999,High-RE,FALSE
POLES,4,0,11.75161,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10EUROPE,mort_per_1k,PM2.5 mortality,NA,NA,4.280647499999999,High-RE,NA
REMIND,0,35,NA,11.136325,NA,FALSE,FALSE,NA,Full,1.5C,R10EUROPE,mort_per_1k,PM2.5 mortality,NA,NA,4.280647499999999,High-RE,NA
WITCH,6,0,17.582012499999998,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10EUROPE,mort_per_1k,PM2.5 mortality,NA,NA,4.280647499999999,High-RE,NA
AIM,1,3,384.7858415083162,431.27530206922137,46.48946056090517,TRUE,FALSE,0.3333333333333333,Full,1.5C,R10INDIA+,net_re_jobs_per_1k,Employment,46.48946056090517,High-RE,743.212383966357,High-RE,TRUE
