approach,Model,Scenario,Ambition,Pathway,cmt_axis,portfolio_rule,Region,n_decades,cumulative_pm25_deaths,cumulative_pm25_deaths_mln
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,62440995,62.440995
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,437839730,437.83973
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,78944715,78.944715
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,85152385,85.152385
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,17416545,17.416545
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,98582770,98.58277
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10LATIN_AM,9,19646000,19.646
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10MIDDLE_EAST,9,43982410,43.98241
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10NORTH_AM,9,11321385,11.321385
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10PAC_OECD,9,6455860,6.45586
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REF_ECON,9,16281490,16.28149
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,62711505,62.711505
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,440495065,440.495065
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,78944715,78.944715
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,85152385,85.152385
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,17416545,17.416545
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,98582770,98.58277
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10LATIN_AM,9,19646000,19.646
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10MIDDLE_EAST,9,43982410,43.98241
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10NORTH_AM,9,11321385,11.321385
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10PAC_OECD,9,6455860,6.45586
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REF_ECON,9,16281490,16.28149
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,62711505,62.711505
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1800f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,440495065,440.495065
A,AIM/CGE V2.2,ENGAGE-INDCi2030-800f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,80442070,80.44207
A,AIM/CGE V2.2,ENGAGE-INDCi2030-800f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,79182205,79.182205
A,AIM/CGE V2.2,ENGAGE-INDCi2030-800f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,15820495,15.820495
A,AIM/CGE V2.2,ENGAGE-INDCi2030-800f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,93597475,93.597475
A,AIM/CGE V2.2,ENGAGE-INDCi2030-800f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10LATIN_AM,9,19448675,19.448675
A,AIM/CGE V2.2,ENGAGE-INDCi2030-800f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10MIDDLE_EAST,9,43176490,43.17649
A,AIM/CGE V2.2,ENGAGE-INDCi2030-800f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10NORTH_AM,9,10735415,10.735415
A,AIM/CGE V2.2,ENGAGE-INDCi2030-800f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10PAC_OECD,9,6367790,6.36779
A,AIM/CGE V2.2,ENGAGE-INDCi2030-800f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10REF_ECON,9,15921930,15.92193
A,AIM/CGE V2.2,ENGAGE-INDCi2030-800f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,61058965,61.058965
A,AIM/CGE V2.2,ENGAGE-INDCi2030-800f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,425751510,425.75151
A,AIM/CGE V2.2,ENGAGE-INDCi2030-900f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,80172835,80.172835
A,AIM/CGE V2.2,ENGAGE-INDCi2030-900f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,79611265,79.611265
A,AIM/CGE V2.2,ENGAGE-INDCi2030-900f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,16015270,16.01527
A,AIM/CGE V2.2,ENGAGE-INDCi2030-900f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,93803905,93.803905
A,AIM/CGE V2.2,ENGAGE-INDCi2030-900f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10LATIN_AM,9,19460205,19.460205
A,AIM/CGE V2.2,ENGAGE-INDCi2030-900f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10MIDDLE_EAST,9,43218610,43.21861
A,AIM/CGE V2.2,ENGAGE-INDCi2030-900f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10NORTH_AM,9,10791815,10.791815
A,AIM/CGE V2.2,ENGAGE-INDCi2030-900f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10PAC_OECD,9,6358960,6.35896
A,AIM/CGE V2.2,ENGAGE-INDCi2030-900f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10REF_ECON,9,15919240,15.91924
A,AIM/CGE V2.2,ENGAGE-INDCi2030-900f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,61113530,61.11353
A,AIM/CGE V2.2,ENGAGE-INDCi2030-900f,2C,High-RE,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,426465635,426.465635
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,80553605,80.553605
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,77909995,77.909995
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,16478195,16.478195
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,89277740,89.27774
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10LATIN_AM,9,19478430,19.47843
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10MIDDLE_EAST,9,43167510,43.16751
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10NORTH_AM,9,10998530,10.99853
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10PAC_OECD,9,6343085,6.343085
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REF_ECON,9,15644550,15.64455
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,60267065,60.267065
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,420118705,420.118705
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,80029150,80.02915
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,79182420,79.18242
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,16414040,16.41404
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,90270640,90.27064
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10LATIN_AM,9,19467215,19.467215
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10MIDDLE_EAST,9,43277665,43.277665
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10NORTH_AM,9,10872980,10.87298
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10PAC_OECD,9,6319550,6.31955
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REF_ECON,9,15641810,15.64181
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,60547715,60.547715
A,AIM/CGE V2.2,ENGAGE-NPi2020-1000f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,422023185,422.023185
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,80128240,80.12824
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,79464325,79.464325
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,16750485,16.750485
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,90568720,90.56872
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10LATIN_AM,9,19525560,19.52556
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10MIDDLE_EAST,9,43356640,43.35664
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10NORTH_AM,9,11090350,11.09035
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10PAC_OECD,9,6363485,6.363485
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REF_ECON,9,15722550,15.72255
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,60651115,60.651115
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,423621470,423.62147
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,79705280,79.70528
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,80681920,80.68192
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,16745315,16.745315
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,91593325,91.593325
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10LATIN_AM,9,19528535,19.528535
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10MIDDLE_EAST,9,43444000,43.444
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10NORTH_AM,9,11085735,11.085735
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10PAC_OECD,9,6341555,6.341555
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REF_ECON,9,15761360,15.76136
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,60972650,60.97265
A,AIM/CGE V2.2,ENGAGE-NPi2020-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,425859675,425.859675
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,79751575,79.751575
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,81251635,81.251635
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,17022800,17.0228
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,92126820,92.12682
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10LATIN_AM,9,19571600,19.5716
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10MIDDLE_EAST,9,43555090,43.55509
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10NORTH_AM,9,11207580,11.20758
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10PAC_OECD,9,6368940,6.36894
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REF_ECON,9,15857450,15.85745
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,61182895,61.182895
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,427896385,427.896385
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,79654050,79.65405
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,81461095,81.461095
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,16990130,16.99013
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,92492265,92.492265
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10LATIN_AM,9,19578505,19.578505
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10MIDDLE_EAST,9,43577670,43.57767
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10NORTH_AM,9,11159555,11.159555
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10PAC_OECD,9,6352315,6.352315
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REF_ECON,9,15850020,15.85002
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,61228430,61.22843
A,AIM/CGE V2.2,ENGAGE-NPi2020-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,428344035,428.344035
A,AIM/CGE V2.2,ENGAGE-NPi2020-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,78951895,78.951895
A,AIM/CGE V2.2,ENGAGE-NPi2020-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,82678035,82.678035
A,AIM/CGE V2.2,ENGAGE-NPi2020-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,17320915,17.320915
A,AIM/CGE V2.2,ENGAGE-NPi2020-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,93769810,93.76981
