database,ambition_view,Region,outcome,outcome_label,n_cdr,n_re,median_cdr,median_re,effect,favours
Full,All ambitions,R10NORTH_AM,mort_per_1k,PM2.5 mortality,226,204,6.820365000000001,8.92639,-2.106024999999999,High-CDR
Full,All ambitions,R10PAC_OECD,net_re_jobs_per_1k,Employment,270,301,76.89548972914777,100.82005326748995,23.924563538342184,High-RE
Full,All ambitions,R10PAC_OECD,gap_GJ_pc,DLE gap,290,293,3.885868392662329,5.551513667998985,-1.6656452753366557,High-CDR
Full,All ambitions,R10PAC_OECD,headcount_pct,Deprived headcount,290,293,1.0613352866701926,1.5446549018106712,-0.4833196151404786,High-CDR
Full,All ambitions,R10PAC_OECD,mort_per_1k,PM2.5 mortality,226,204,5.498055,3.630585,1.86747,High-RE
Full,All ambitions,R10REF_ECON,net_re_jobs_per_1k,Employment,273,305,405.1514714576385,622.8332290115586,217.68175755392014,High-RE
Full,All ambitions,R10REF_ECON,gap_GJ_pc,DLE gap,293,297,1.4500908588442696,1.479000973958264,-0.028910115113994328,High-CDR
Full,All ambitions,R10REF_ECON,headcount_pct,Deprived headcount,293,297,0.5488507896429893,0.5440373898119943,0.0048133998309949355,High-RE
Full,All ambitions,R10REF_ECON,mort_per_1k,PM2.5 mortality,226,204,14.15165,13.214325,0.9373249999999995,High-RE
Full,All ambitions,R10REST_ASIA,net_re_jobs_per_1k,Employment,270,305,131.72707865931102,618.5609082645318,486.8338296052208,High-RE
Full,All ambitions,R10REST_ASIA,gap_GJ_pc,DLE gap,290,297,3.636170064020396,7.151041907442916,-3.5148718434225197,High-CDR
Full,All ambitions,R10REST_ASIA,headcount_pct,Deprived headcount,290,297,1.905223883007582,3.286604796913059,-1.3813809139054771,High-CDR
Full,All ambitions,R10REST_ASIA,mort_per_1k,PM2.5 mortality,226,204,58.338522499999996,57.557424999999995,0.7810975000000013,High-RE
SCI-vetted,1.5C,Aggregated R10 regions,net_re_jobs_per_1k,Employment,6,6,265.79639500326715,550.3494216687917,284.55302666552456,High-RE
SCI-vetted,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,6,6,21.27685223957915,18.043651984600665,3.2332002549784846,High-RE
SCI-vetted,1.5C,Aggregated R10 regions,headcount_pct,Deprived headcount,6,6,7.876058545149219,6.662031540784415,1.2140270043648034,High-RE
SCI-vetted,1.5C,Aggregated R10 regions,mort_per_1k,PM2.5 mortality,6,6,481.9203375,428.3386425,53.581695000000025,High-RE
SCI-vetted,1.5C,R10AFRICA,net_re_jobs_per_1k,Employment,6,6,352.1491980380507,965.7760959877504,613.6268979496997,High-RE
SCI-vetted,1.5C,R10AFRICA,gap_GJ_pc,DLE gap,6,6,75.09854733128219,68.27750770051213,6.821039630770059,High-RE
SCI-vetted,1.5C,R10AFRICA,headcount_pct,Deprived headcount,6,6,30.918092842405613,27.66025601569889,3.257836826706722,High-RE
SCI-vetted,1.5C,R10AFRICA,mort_per_1k,PM2.5 mortality,6,6,78.6303025,78.659675,-0.029372499999993806,High-CDR
SCI-vetted,1.5C,R10CHINA+,net_re_jobs_per_1k,Employment,6,6,175.80538056060058,238.2336730516156,62.428292491015014,High-RE
SCI-vetted,1.5C,R10CHINA+,gap_GJ_pc,DLE gap,6,6,0.9344244659035426,0.7351813244709702,0.19924314143257238,High-RE
SCI-vetted,1.5C,R10CHINA+,headcount_pct,Deprived headcount,6,6,0.5171582121332308,0.42934361540181015,0.08781459673142061,High-RE
SCI-vetted,1.5C,R10CHINA+,mort_per_1k,PM2.5 mortality,6,6,89.5881775,86.4642075,3.12397,High-RE
SCI-vetted,1.5C,R10EUROPE,net_re_jobs_per_1k,Employment,6,6,32.551064483531206,126.3166281854281,93.7655637018969,High-RE
SCI-vetted,1.5C,R10EUROPE,gap_GJ_pc,DLE gap,6,6,8.36757169891245,4.860401267343972,3.5071704315684773,High-RE
SCI-vetted,1.5C,R10EUROPE,headcount_pct,Deprived headcount,6,6,3.1362655619827384,1.7743140813268912,1.3619514806558473,High-RE
SCI-vetted,1.5C,R10EUROPE,mort_per_1k,PM2.5 mortality,6,6,16.675512500000004,17.056355,-0.3808424999999964,High-CDR
SCI-vetted,1.5C,R10INDIA+,net_re_jobs_per_1k,Employment,6,6,239.29911364413204,684.4594998860175,445.1603862418855,High-RE
SCI-vetted,1.5C,R10INDIA+,gap_GJ_pc,DLE gap,6,6,0.9631824733000813,0.5016051162328972,0.46157735706718417,High-RE
SCI-vetted,1.5C,R10INDIA+,headcount_pct,Deprived headcount,6,6,0.883437851094419,0.47177717886995524,0.41166067222446373,High-RE
SCI-vetted,1.5C,R10INDIA+,mort_per_1k,PM2.5 mortality,6,6,136.3275325,100.12599,36.20154249999999,High-RE
SCI-vetted,1.5C,R10LATIN_AM,net_re_jobs_per_1k,Employment,6,6,237.53688000589017,357.51681298426206,119.97993297837189,High-RE
SCI-vetted,1.5C,R10LATIN_AM,gap_GJ_pc,DLE gap,6,6,73.76964973361483,49.96594767767199,23.803702055942836,High-RE
SCI-vetted,1.5C,R10LATIN_AM,headcount_pct,Deprived headcount,6,6,20.047821085047644,13.135744271533703,6.912076813513941,High-RE
SCI-vetted,1.5C,R10LATIN_AM,mort_per_1k,PM2.5 mortality,6,6,22.340055,15.87274,6.467314999999999,High-RE
SCI-vetted,1.5C,R10MIDDLE_EAST,net_re_jobs_per_1k,Employment,6,6,186.28541881046397,953.7629249994258,767.4775061889618,High-RE
SCI-vetted,1.5C,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,6,6,1.1276303860726,1.4100286144379646,-0.28239822836536455,High-CDR
SCI-vetted,1.5C,R10MIDDLE_EAST,headcount_pct,Deprived headcount,6,6,0.603786686193827,0.6285689025105159,-0.024782216316688865,High-CDR
SCI-vetted,1.5C,R10MIDDLE_EAST,mort_per_1k,PM2.5 mortality,6,6,43.195584999999994,45.753834999999995,-2.558250000000001,High-CDR
SCI-vetted,1.5C,R10NORTH_AM,net_re_jobs_per_1k,Employment,6,6,157.1768925323678,228.5979622655319,71.4210697331641,High-RE
SCI-vetted,1.5C,R10NORTH_AM,gap_GJ_pc,DLE gap,6,6,23.04624556584454,12.797187140670545,10.249058425173995,High-RE
SCI-vetted,1.5C,R10NORTH_AM,headcount_pct,Deprived headcount,6,6,5.786853450821869,3.4039809454660244,2.382872505355845,High-RE
SCI-vetted,1.5C,R10NORTH_AM,mort_per_1k,PM2.5 mortality,6,6,7.81337,9.9319875,-2.1186175,High-CDR
SCI-vetted,1.5C,R10PAC_OECD,net_re_jobs_per_1k,Employment,6,6,117.49823353654946,144.69114121929397,27.192907682744504,High-RE
SCI-vetted,1.5C,R10PAC_OECD,gap_GJ_pc,DLE gap,6,6,8.554527341254996,5.959975279820308,2.5945520614346878,High-RE
SCI-vetted,1.5C,R10PAC_OECD,headcount_pct,Deprived headcount,6,6,2.4092464893817187,1.769349034505217,0.6398974548765017,High-RE
SCI-vetted,1.5C,R10PAC_OECD,mort_per_1k,PM2.5 mortality,6,6,5.8691075,4.785665,1.0834425000000003,High-RE
SCI-vetted,1.5C,R10REF_ECON,net_re_jobs_per_1k,Employment,6,6,469.8346969430388,944.0576144991812,474.2229175561424,High-RE
SCI-vetted,1.5C,R10REF_ECON,gap_GJ_pc,DLE gap,6,6,1.8186281340410342,1.142614143324952,0.6760139907160823,High-RE
SCI-vetted,1.5C,R10REF_ECON,headcount_pct,Deprived headcount,6,6,0.7389637901696591,0.47501774377839545,0.2639460463912636,High-RE
SCI-vetted,1.5C,R10REF_ECON,mort_per_1k,PM2.5 mortality,6,6,13.541284999999998,13.8316125,-0.29032750000000185,High-CDR
SCI-vetted,1.5C,R10REST_ASIA,net_re_jobs_per_1k,Employment,6,6,171.9748431577425,594.742275589244,422.76743243150145,High-RE
SCI-vetted,1.5C,R10REST_ASIA,gap_GJ_pc,DLE gap,6,6,11.017887881598906,9.492942324250567,1.5249455573483388,High-RE
SCI-vetted,1.5C,R10REST_ASIA,headcount_pct,Deprived headcount,6,6,5.173230675607692,4.503699733121806,0.6695309424858857,High-RE
SCI-vetted,1.5C,R10REST_ASIA,mort_per_1k,PM2.5 mortality,6,6,68.082905,56.4121875,11.670717499999995,High-RE
SCI-vetted,2C,Aggregated R10 regions,net_re_jobs_per_1k,Employment,63,63,186.3801306098022,295.0638621968642,108.683731587062,High-RE
SCI-vetted,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,63,63,19.046803905975818,20.477791184909517,-1.4309872789336993,High-CDR
SCI-vetted,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,63,63,6.911010776806588,7.600774981647953,-0.6897642048413646,High-CDR
SCI-vetted,2C,Aggregated R10 regions,mort_per_1k,PM2.5 mortality,62,60,419.717675,442.17121,-22.453534999999988,High-CDR
SCI-vetted,2C,R10AFRICA,net_re_jobs_per_1k,Employment,63,64,298.8138130573049,376.03835833292646,77.22454527562155,High-RE
SCI-vetted,2C,R10AFRICA,gap_GJ_pc,DLE gap,63,64,83.00002841748247,75.63286066839687,7.367167749085596,High-RE
SCI-vetted,2C,R10AFRICA,headcount_pct,Deprived headcount,63,64,31.926153144568925,31.882742024364475,0.043411120204449816,High-RE
SCI-vetted,2C,R10AFRICA,mort_per_1k,PM2.5 mortality,62,60,73.707605,76.832695,-3.12509,High-CDR
SCI-vetted,2C,R10CHINA+,net_re_jobs_per_1k,Employment,63,64,123.05337974658393,265.3303491084322,142.27696936184827,High-RE
SCI-vetted,2C,R10CHINA+,gap_GJ_pc,DLE gap,63,64,0.5772627363233156,0.6938495741802311,-0.11658683785691548,High-CDR
SCI-vetted,2C,R10CHINA+,headcount_pct,Deprived headcount,63,64,0.30688387706273595,0.35204896231797156,-0.045165085255235604,High-CDR
SCI-vetted,2C,R10CHINA+,mort_per_1k,PM2.5 mortality,62,60,81.144235,92.7090475,-11.564812500000002,High-CDR
SCI-vetted,2C,R10EUROPE,net_re_jobs_per_1k,Employment,63,64,68.09629480655028,125.7224207001056,57.626125893555326,High-RE
SCI-vetted,2C,R10EUROPE,gap_GJ_pc,DLE gap,63,64,4.591079153146018,3.6760836237445305,0.9149955294014878,High-RE
SCI-vetted,2C,R10EUROPE,headcount_pct,Deprived headcount,63,64,1.6736381438324743,1.0301973270831228,0.6434408167493515,High-RE
SCI-vetted,2C,R10EUROPE,mort_per_1k,PM2.5 mortality,62,60,12.21634,17.8237375,-5.607397499999999,High-CDR
SCI-vetted,2C,R10INDIA+,net_re_jobs_per_1k,Employment,63,64,286.28838129936315,434.2730336216854,147.98465232232223,High-RE
SCI-vetted,2C,R10INDIA+,gap_GJ_pc,DLE gap,63,64,1.2209478292963711,0.8679672784749393,0.35298055082143187,High-RE
SCI-vetted,2C,R10INDIA+,headcount_pct,Deprived headcount,63,64,1.2183510564722828,0.7854007019395317,0.4329503545327511,High-RE
SCI-vetted,2C,R10INDIA+,mort_per_1k,PM2.5 mortality,62,60,114.354115,96.08115749999999,18.272957500000004,High-RE
SCI-vetted,2C,R10LATIN_AM,net_re_jobs_per_1k,Employment,63,64,174.21171064479094,277.8537908680977,103.64208022330675,High-RE
SCI-vetted,2C,R10LATIN_AM,gap_GJ_pc,DLE gap,63,64,60.84158733234104,53.12928703667567,7.712300295665372,High-RE
SCI-vetted,2C,R10LATIN_AM,headcount_pct,Deprived headcount,63,64,16.853679371749823,14.002532497515308,2.851146874234516,High-RE
SCI-vetted,2C,R10LATIN_AM,mort_per_1k,PM2.5 mortality,62,60,13.419615,15.402305,-1.9826899999999998,High-CDR
SCI-vetted,2C,R10MIDDLE_EAST,net_re_jobs_per_1k,Employment,63,64,129.53417894780506,505.2775165463713,375.74333759856626,High-RE
SCI-vetted,2C,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,63,64,0.7582799417289574,2.446730547656026,-1.6884506059270685,High-CDR
