database,ambition_view,Region,model_family,metric,label,unit,Pathway,n,median
Full,1.5C,R10AFRICA,AIM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,3,0.16045125361825074
Full,1.5C,R10AFRICA,AIM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,1,2.434284806902479
Full,1.5C,R10AFRICA,AIM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,3,0.03858439387780064
Full,1.5C,R10AFRICA,AIM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,1,0.07515772750024415
Full,1.5C,R10AFRICA,AIM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,3,0.014016110812751736
Full,1.5C,R10AFRICA,AIM,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,1,5575.915440000001
Full,1.5C,R10AFRICA,AIM,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,3,166.55270000000004
Full,1.5C,R10AFRICA,AIM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,1,211.93813852368035
Full,1.5C,R10AFRICA,AIM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,3,187.4636959543117
Full,1.5C,R10AFRICA,AIM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,1,247.2309388844374
Full,1.5C,R10AFRICA,AIM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,3,193.61519138116145
Full,1.5C,R10AFRICA,AIM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,1,249.53101613542853
Full,1.5C,R10AFRICA,AIM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,3,193.77241735653254
Full,1.5C,R10AFRICA,GCAM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,0,NA
Full,1.5C,R10AFRICA,GCAM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,1,7.839360765514298
Full,1.5C,R10AFRICA,GCAM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,0,NA
Full,1.5C,R10AFRICA,GCAM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,1,7.982832923374217
Full,1.5C,R10AFRICA,GCAM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,0,NA
