region,fuel,decommission_jobyears_per_MW_us_median,regional_labour_multiplier_raw,regional_labour_multiplier,decommission_jobyears_per_GW
R10PAC_OECD,oil,2.36290997,0.5406319217342501,0.5406319217342501,1277.4645579661194
R10PAC_OECD,solar_pv,0.62978903,0.5406319217342501,0.5406319217342501,340.4840535760493
R10PAC_OECD,wind_on,0.10159004,0.5406319217342501,0.5406319217342501,54.922818554259344
R10REF_ECON,biomass,1.67724748,3.4177381124733475,3.4177381124733475,5732.392636445878
R10REF_ECON,coal,2.36290997,3.4177381124733475,3.4177381124733475,8075.807460812254
R10REF_ECON,gas,0.62078255,3.4177381124733475,3.4177381124733475,2121.6721806933915
R10REF_ECON,geothermal,1.35736336,3.4177381124733475,3.4177381124733475,4639.11248794688
R10REF_ECON,hydro,0.74615629000000006,3.4177381124733475,3.4177381124733475,2550.1667901947158
R10REF_ECON,nuclear,3.21283205,3.4177381124733475,3.4177381124733475,10980.618546260876
R10REF_ECON,oil,2.36290997,3.4177381124733475,3.4177381124733475,8075.807460812254
R10REF_ECON,solar_pv,0.62978903,3.4177381124733475,3.4177381124733475,2152.4539706486203
R10REF_ECON,wind_on,0.10159004,3.4177381124733475,3.4177381124733475,347.20815155569187
R10REST_ASIA,biomass,1.67724748,1.4075278696441151,1.4075278696441151,2360.7725723903604
R10REST_ASIA,coal,2.36290997,1.4075278696441151,1.4075278696441151,3325.8616362349403
R10REST_ASIA,gas,0.62078255,1.4075278696441151,1.4075278696441151,873.7687401137414
R10REST_ASIA,geothermal,1.35736336,1.4075278696441151,1.4075278696441151,1910.5267584337778
R10REST_ASIA,hydro,0.74615629000000006,1.4075278696441151,1.4075278696441151,1050.2357732852565
R10REST_ASIA,nuclear,3.21283205,1.4075278696441151,1.4075278696441151,4522.150650860835
R10REST_ASIA,oil,2.36290997,1.4075278696441151,1.4075278696441151,3325.8616362349403
R10REST_ASIA,solar_pv,0.62978903,1.4075278696441151,1.4075278696441151,886.4456117211338
