Model,Scenario,family,project,amb,Pathway,jobs_Renewables,jobs_Nuclear,jobs_Bioenergy,jobs_Fossil,jobs_Decommission,jobs_EnergyTotal
REMIND-Transport 2.1,Transport-1100-Conventional-LowDemand,REMIND,Transport,2C,High-RE,725.5301302610399,11.304582182132856,13.452462636938709,9.88420902206268,6.990139867161841,767.161523969336
REMIND-Transport 2.1,Transport-1100-Conventional-SynFuel,REMIND,Transport,2C,High-RE,885.3584911016472,16.738327342077415,21.192435969675916,16.14347817954805,9.112439889613698,948.5451724825624
REMIND-Transport 2.1,Transport-1100-Electrification,REMIND,Transport,2C,High-RE,717.0723220987899,11.420643955091961,13.006397318871333,10.59434799734696,6.994450168063505,759.0881615381636
REMIND-Transport 2.1,Transport-1100-Electrification-LowDemand,REMIND,Transport,2C,High-RE,706.5965414514241,11.414104777068806,12.363701943968785,11.521964080401318,6.922954221920322,748.8192664747833
REMIND-Transport 2.1,Transport-1100-H2,REMIND,Transport,2C,High-RE,735.097119866043,11.510693410794408,15.111844292050169,10.474301828105332,7.237697803622789,779.4316572006157
REMIND-Transport 2.1,Transport-NDC-Conventional,REMIND,Transport,2C,High-RE,545.3354365215497,7.049611356393215,3.556035089831839,36.791298096570486,5.699128764914691,598.43150982926
REMIND-Transport 2.1,Transport-NPi-Conventional,REMIND,Transport,2C,High-RE,385.8958521405387,5.456203769525345,3.8216970220708535,74.18440850490097,4.811709123441593,474.1698705604775
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000,TIAM,ENGAGE,2C,High-CDR,78.35342938758696,20.815977827611395,0,0,1.0020794476010721,100.17148666279942
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000-COV,TIAM,ENGAGE,2C,High-CDR,82.79612977386108,21.836809030229123,0,0,0.9518516558801963,105.5847904599704
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000-NDCp,TIAM,ENGAGE,2C,High-CDR,79.24244008053768,20.838772937795206,0,0,1.0044389364782909,101.08565195481115
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f,TIAM,ENGAGE,2C,High-CDR,79.7062923079913,21.87020688216484,0,0,0.9825943315996367,102.55909352175578
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f-COV,TIAM,ENGAGE,2C,High-CDR,80.2972954903865,23.034381026146384,0,0,0.926674580202735,104.25835109673562
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f-NDCp,TIAM,ENGAGE,2C,High-CDR,82.54094002564938,23.419643521867616,0,0,0.9462311302342541,106.90681467775124
TIAM-ECN 1.1,ENGAGE-INDCi2030-900,TIAM,ENGAGE,2C,High-CDR,81.4799311177942,21.778080622821815,0,0,1.0016832479723599,104.25969498858836
TIAM-ECN 1.1,ENGAGE-INDCi2030-900f,TIAM,ENGAGE,2C,High-CDR,81.34104324998634,23.782963983654675,0,0,0.9560576762521118,106.08006490989312
TIAM-ECN 1.1,ENGAGE-NPi2020-800,TIAM,ENGAGE,2C,High-CDR,82.01244562105417,21.646688503176286,0,0,0.9987646108624143,104.65789873509286
TIAM-ECN 1.1,ENGAGE-NPi2020-800f,TIAM,ENGAGE,2C,High-CDR,82.45959793729911,22.638614422459227,0,0,0.968138704402308,106.06635106416063
TIAM-ECN 1.1,ENGAGE-NPi2020-900,TIAM,ENGAGE,2C,High-CDR,79.62184658301993,21.621294214105816,0,0,0.9629646860725413,102.2061054831983
TIAM-ECN 1.1,ENGAGE-NPi2020-900f,TIAM,ENGAGE,2C,High-CDR,81.51664535947467,22.3189653594937,0,0,0.9359847629943794,104.77159548196275
WITCH 5.0,COMMIT-2°C-2020,WITCH,COMMIT,2C,High-CDR,266.80716979058644,15.276686998059507,63.297194500283695,23.748914190121464,5.894046970687967,375.0240124497391
WITCH 5.0,COMMIT-2°C-2030,WITCH,COMMIT,2C,High-CDR,283.50408440245747,15.387252295741186,57.62830804881657,28.66305753723873,6.247047276729663,391.42974956098357
WITCH 5.0,COMMIT-Bridge,WITCH,COMMIT,2C,High-RE,648.0380239251231,20.181684931158316,26.493083260802567,22.79433979485505,10.608346105538141,728.1154780174771
