ambition_view,family,project,Pathway,component,n,median
All ambitions,WITCH,ENGAGE,High-CDR,jobs_Nuclear,6,13.69307661637949
All ambitions,WITCH,ENGAGE,High-CDR,jobs_Renewables,6,337.6968429579849
All ambitions,WITCH,ENGAGE,High-RE,jobs_Bioenergy,11,41.55342318988101
All ambitions,WITCH,ENGAGE,High-RE,jobs_Decommission,11,1.2964507537318242
All ambitions,WITCH,ENGAGE,High-RE,jobs_EnergyTotal,11,315.6949242584331
All ambitions,WITCH,ENGAGE,High-RE,jobs_Fossil,11,19.758053529382458
All ambitions,WITCH,ENGAGE,High-RE,jobs_Nuclear,11,6.306152248766553
All ambitions,WITCH,ENGAGE,High-RE,jobs_Renewables,11,255.8118181966527
All ambitions,WITCH,NAVIGATE,High-RE,jobs_Bioenergy,4,24.654623858610435
All ambitions,WITCH,NAVIGATE,High-RE,jobs_Decommission,4,8.192831669017751
All ambitions,WITCH,NAVIGATE,High-RE,jobs_EnergyTotal,4,504.36908522847
All ambitions,WITCH,NAVIGATE,High-RE,jobs_Fossil,4,20.573658444205922
All ambitions,WITCH,NAVIGATE,High-RE,jobs_Nuclear,4,10.072410807572057
All ambitions,WITCH,NAVIGATE,High-RE,jobs_Renewables,4,440.4186361284869
