database,ambition_view,fuel,tech_group,measure,n_High-CMT,n_High-RE,median_High-CMT,median_High-RE,raw_difference_high_re_minus_high_cmt
Full,All ambitions pooled,nuclear,Nuclear,plant_jobs_displaced_thousands,260,301,1048.8120536460438,721.5538037059843,-327.2582499400595
Full,All ambitions pooled,nuclear,Nuclear,upstream_jobs_displaced_thousands,260,301,17.379278062846595,11.1425820846,-6.236695978246594
Full,All ambitions pooled,oil,Fossil,decommission_jobyears_thousands,248,216,1010.6176174376017,688.7768715129588,-321.8407459246429
Full,All ambitions pooled,oil,Fossil,inferred_retirements_GW,248,216,409.5707969139338,251.07625000000002,-158.4945469139338
Full,All ambitions pooled,oil,Fossil,plant_jobs_displaced_thousands,248,216,116.98587853055318,79.30481940949116,-37.68105912106202
Full,All ambitions pooled,oil,Fossil,upstream_jobs_displaced_thousands,248,216,3.8933659718132447,2.644213680392006,-1.2491522914212387
Full,All ambitions pooled,solar_pv,Renewables,decommission_jobyears_thousands,248,301,10730.854843131483,28630.568943907845,17899.714100776364
Full,All ambitions pooled,solar_pv,Renewables,inferred_retirements_GW,248,301,19512.4288220188,44267.44814000001,24755.01931798121
Full,All ambitions pooled,solar_pv,Renewables,plant_jobs_displaced_thousands,248,301,5820.27002697995,19297.14494568,13476.87491870005
Full,All ambitions pooled,solar_pv,Renewables,upstream_jobs_displaced_thousands,248,301,0,0,0
Full,All ambitions pooled,wind_on,Renewables,decommission_jobyears_thousands,260,301,1051.9552907574734,2466.116020403638,1414.1607296461643
Full,All ambitions pooled,wind_on,Renewables,inferred_retirements_GW,260,301,10807.149411070346,24025.62739,13218.477978929655
Full,All ambitions pooled,wind_on,Renewables,plant_jobs_displaced_thousands,260,301,4595.910790801903,9712.12984625,5116.219055448097
Full,All ambitions pooled,wind_on,Renewables,upstream_jobs_displaced_thousands,260,301,0,0,0
SCI-vetted,1.5C,biomass,Bioenergy,decommission_jobyears_thousands,6,6,2519.7207753854273,639.142614242895,-1880.5781611425323
SCI-vetted,1.5C,biomass,Bioenergy,inferred_retirements_GW,6,6,1537.8679582722596,400.46186572444805,-1137.4060925478116
SCI-vetted,1.5C,biomass,Bioenergy,plant_jobs_displaced_thousands,6,6,5505.403756723872,1442.973489093059,-4062.430267630813
SCI-vetted,1.5C,biomass,Bioenergy,upstream_jobs_displaced_thousands,6,6,150.75005688272896,39.627471902971195,-111.12258497975776
SCI-vetted,1.5C,coal,Fossil,decommission_jobyears_thousands,6,6,8119.1640678395315,5168.429026748954,-2950.7350410905774
SCI-vetted,1.5C,coal,Fossil,inferred_retirements_GW,6,6,3447.7739895768023,2372.535214042194,-1075.238775534608
SCI-vetted,1.5C,coal,Fossil,plant_jobs_displaced_thousands,6,6,2701.9800143741363,2142.8577493088483,-559.122265065288
SCI-vetted,1.5C,coal,Fossil,upstream_jobs_displaced_thousands,6,6,3817.9225634087243,2355.7909958069886,-1462.1315676017357
SCI-vetted,1.5C,gas,Fossil,decommission_jobyears_thousands,6,6,6807.97450176567,2296.0184977701338,-4511.956003995536
SCI-vetted,1.5C,gas,Fossil,inferred_retirements_GW,6,6,9417.46854869801,3078.170092739966,-6339.2984559580445
SCI-vetted,1.5C,gas,Fossil,plant_jobs_displaced_thousands,6,6,3471.47123696207,1128.532826113224,-2342.938410848846
SCI-vetted,1.5C,gas,Fossil,upstream_jobs_displaced_thousands,6,6,4.568268077636457,0.9840660524169216,-3.5842020252195352
SCI-vetted,1.5C,geothermal,Renewables,decommission_jobyears_thousands,2,5,324.91869655031644,151.34331637182916,-173.57538017848728
SCI-vetted,1.5C,geothermal,Renewables,inferred_retirements_GW,2,5,240.08184358567013,102.36956446999999,-137.71227911567013
SCI-vetted,1.5C,geothermal,Renewables,plant_jobs_displaced_thousands,2,5,267.83665696700496,126.60947685151795,-141.227180115487
SCI-vetted,1.5C,geothermal,Renewables,upstream_jobs_displaced_thousands,2,5,0,0,0
SCI-vetted,1.5C,hydro,Renewables,decommission_jobyears_thousands,6,6,1285.368979422044,585.5416180018157,-699.8273614202284
SCI-vetted,1.5C,hydro,Renewables,inferred_retirements_GW,6,6,1573.3270406724705,636.0099509099998,-937.3170897624707
SCI-vetted,1.5C,hydro,Renewables,plant_jobs_displaced_thousands,6,6,1338.6943797787428,506.74251062124915,-831.9518691574937
SCI-vetted,1.5C,hydro,Renewables,upstream_jobs_displaced_thousands,6,6,0,0,0
SCI-vetted,1.5C,nuclear,Nuclear,decommission_jobyears_thousands,6,6,4298.8453238711345,1970.0397282848808,-2328.8055955862537
SCI-vetted,1.5C,nuclear,Nuclear,inferred_retirements_GW,6,6,1350.5306524610746,665.712655988036,-684.8179964730386
SCI-vetted,1.5C,nuclear,Nuclear,plant_jobs_displaced_thousands,6,6,1577.9106035401787,696.0581464378338,-881.8524571023449
SCI-vetted,1.5C,nuclear,Nuclear,upstream_jobs_displaced_thousands,6,6,26.038493112169448,10.569443671795124,-15.469049440374324
SCI-vetted,1.5C,oil,Fossil,decommission_jobyears_thousands,6,6,2472.4378616815447,1367.7076743961172,-1104.7301872854275
SCI-vetted,1.5C,oil,Fossil,inferred_retirements_GW,6,6,942.9289876081494,526.2803993946429,-416.6485882135065
SCI-vetted,1.5C,oil,Fossil,plant_jobs_displaced_thousands,6,6,281.47061012068696,145.91115126990672,-135.55945885078023
