database,ambition_view,Region,model_family,metric,label,unit,n_High-CMT,n_High-RE,median_High-CMT,median_High-RE,comparable,robust_3_per_arm,raw_difference_high_re_minus_high_cmt,favours_more_employment
Full,1.5C,R10AFRICA,IMAGE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",21,0,4.1007691888376385,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,IMAGE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",21,0,3.7940794916522287,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,IMAGE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",21,0,0.07852660653222057,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,IMAGE,inferred_retirements_GW,Inferred retired capacity,GW,21,0,8077.6106251297915,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,IMAGE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",21,0,502.4926555735299,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,IMAGE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",21,0,539.606438257113,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,IMAGE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",21,0,544.169203098199,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,MESSAGEix,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",25,3,0.1253819120229479,1.365421870007086,TRUE,TRUE,1.2400399579841381,High-RE
Full,1.5C,R10AFRICA,MESSAGEix,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",25,3,0.06498170870471102,1.2942636881295686,TRUE,TRUE,1.2292819794248575,High-RE
Full,1.5C,R10AFRICA,MESSAGEix,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",25,3,0.020218512037867137,0.035566961021878986,TRUE,TRUE,0.015348448984011848,High-RE
Full,1.5C,R10AFRICA,MESSAGEix,inferred_retirements_GW,Inferred retired capacity,GW,25,3,106.33317147738912,3167.3134042510756,TRUE,TRUE,3060.9802327736866,High-RE
Full,1.5C,R10AFRICA,MESSAGEix,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",25,3,252.54475182885233,278.58738092750093,TRUE,TRUE,26.042629098648604,High-RE
Full,1.5C,R10AFRICA,MESSAGEix,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",25,3,321.93221877733134,360.96087250428644,TRUE,TRUE,39.0286537269551,High-RE
Full,1.5C,R10AFRICA,MESSAGEix,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",25,3,322.30006407188057,362.3262943742936,TRUE,TRUE,40.02623030241301,High-RE
Full,1.5C,R10AFRICA,POLES,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",4,1,2.6914874054839704,0.19289370953319296,TRUE,FALSE,-2.4985936959507775,High-CMT
Full,1.5C,R10AFRICA,POLES,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",4,1,2.674689304409301,0.10666065237424859,TRUE,FALSE,-2.5680286520350526,High-CMT
Full,1.5C,R10AFRICA,POLES,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",4,1,0.11128611414160666,0.02507292494479703,TRUE,FALSE,-0.08621318919680963,High-CMT
Full,1.5C,R10AFRICA,POLES,inferred_retirements_GW,Inferred retired capacity,GW,4,1,5227.671779975039,125.69023871421814,TRUE,FALSE,-5101.98154126082,High-CMT
Full,1.5C,R10AFRICA,POLES,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",4,1,349.3863128864549,323.39269783091237,TRUE,FALSE,-25.993615055542534,High-CMT
