Model,Scenario,Region,Category,fuel,tech_group,inferred_retirements_GW,gross_additions_GW,plant_jobs_displaced_thousands,upstream_jobs_displaced_thousands,decommission_jobyears_thousands,absolute_balance_residual_GW,unexplained_additions_GW
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10PAC_OECD,C3,nuclear,Nuclear,14.465099999999996,13.035599999999995,13.278275893888196,0.07926874799999999,25.12529380948041,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10PAC_OECD,C3,oil,Fossil,37.3013,0,5.624360625360899,0.30036575279665,47.65108871606161,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10PAC_OECD,C3,solar_pv,Renewables,0,1123.241,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10PAC_OECD,C3,wind_on,Renewables,0,303.3469,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REF_ECON,C3,biomass,Bioenergy,0,95.62329999999999,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REF_ECON,C3,coal,Fossil,127.2106,0,162.193515,501.422886914763,1027.3283125744033,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REF_ECON,C3,gas,Fossil,341.30109999999996,156.7831,308.77215564589375,0.07602197446351332,724.1290491100532,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REF_ECON,C3,geothermal,Renewables,0,6.274699999999999,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REF_ECON,C3,hydro,Renewables,0,206.8553,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REF_ECON,C3,nuclear,Nuclear,0,308.432,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REF_ECON,C3,oil,Fossil,20.5051,0,18.5507867649258,0.36061702699171183,165.59523956470136,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REF_ECON,C3,solar_pv,Renewables,7.608099999999922,3198.3909999999996,4.108373999999958,0,16.3760850540916,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REF_ECON,C3,wind_on,Renewables,0,565.0197000000001,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REST_ASIA,C3,biomass,Bioenergy,0,301.8911,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REST_ASIA,C3,coal,Fossil,182.0237,26.021500000000003,92.832087,286.9913329263654,605.3856407155379,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REST_ASIA,C3,gas,Fossil,44.92059999999995,89.94179999999997,3.19038352272727,0.004536980599999995,39.25021606715329,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REST_ASIA,C3,geothermal,Renewables,0,13.941099999999999,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REST_ASIA,C3,hydro,Renewables,0,8.943200000000004,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REST_ASIA,C3,nuclear,Nuclear,0,243.19929999999997,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REST_ASIA,C3,oil,Fossil,33.7623,0,12.217784414481361,0.13954829875161295,112.28873832105494,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REST_ASIA,C3,solar_pv,Renewables,0,2881.4099999999994,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REST_ASIA,C3,wind_on,Renewables,0,1874.2758,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10AFRICA,C3,biomass,Bioenergy,0.017500000000000016,9.591199999999999,0.04375000000000004,0.006777750000000006,0.02513321230266203,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10AFRICA,C3,coal,Fossil,43.855700000000006,4.8489000000000075,15.032622261860702,15.123255284739002,88.73317575561505,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10AFRICA,C3,gas,Fossil,68.23410000000001,0,9.552774000000001,0.026952469500000003,36.27051910201304,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10AFRICA,C3,geothermal,Renewables,0,3.1157,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10AFRICA,C3,hydro,Renewables,0,249.24510000000004,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10AFRICA,C3,nuclear,Nuclear,2.3247,2.8638,2.4944031,0,6.395400435673066,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10AFRICA,C3,oil,Fossil,19.8687,0,2.781618,0.2065351365,40.200312596437605,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10AFRICA,C3,solar_pv,Renewables,0,2473.1810000000005,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10AFRICA,C3,wind_on,Renewables,26.46859999999998,452.08990000000006,9.264009999999994,0,2.3024749036925285,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10CHINA+,C3,biomass,Bioenergy,0.5003000000000384,278.9526,1.5309180000001175,0.03889332200000298,0.7349715451062032,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10CHINA+,C3,coal,Fossil,1420.2454,265.28470000000016,1877.5644188,1434.472597515359,2939.3644720588627,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10CHINA+,C3,gas,Fossil,986.9232,1580.363,415.0124209952448,1.2538859256,536.6186140603343,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10CHINA+,C3,hydro,Renewables,0,106.0541,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10CHINA+,C3,nuclear,Nuclear,138.21020000000001,138.209,66.51365875,5.03776179,388.92959684460294,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10CHINA+,C3,oil,Fossil,24.629800000000003,18.632500000000004,10.357110793047202,0.29843059228060004,50.97426055660197,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10CHINA+,C3,solar_pv,Renewables,229.59860000000026,6363.4752,53.726072400000064,0,126.65058544741979,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10CHINA+,C3,wind_on,Renewables,148.3674000000001,2702.1645,81.00860040000005,0,13.201780023148718,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10EUROPE,C3,biomass,Bioenergy,0,379.2042,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10EUROPE,C3,coal,Fossil,172.7382,0,49.23038700000001,214.2688351111038,245.21778809212728,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10EUROPE,C3,gas,Fossil,258.77779999999996,65.33459999999997,36.228891999999995,0.09316000799999999,96.51235725193243,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10EUROPE,C3,geothermal,Renewables,0,10.7429,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10EUROPE,C3,hydro,Renewables,6.340400000000017,31.844800000000006,1.902120000000005,0,2.842253879001975,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10EUROPE,C3,nuclear,Nuclear,91.8775,22.867500000000007,98.5860158715575,2.1104261749999997,177.3428155416648,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10EUROPE,C3,oil,Fossil,27.530600000000003,2.035800000000002,3.8542840000000003,0.16793666000000002,39.08222290639314,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10EUROPE,C3,solar_pv,Renewables,270.55930000000035,2387.994,24.35033700000003,0,102.37029726681223,0,0
