Model,Scenario,Region,Category,jobs_Bioenergy,jobs_Fossil,jobs_Nuclear,jobs_Renewables,jobs_Decommission,gross_plant_jobs_displaced,gross_upstream_jobs_displaced,inferred_retirements_GW,absolute_balance_residual_GW,unexplained_additions_GW,jobs_EnergyTotal_no_decommission,jobs_EnergyTotal,jobs_RE_minus_fossil
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,R10CHINA+,C3,22025.487609951997,229324.301900281,9581.46026259,484976.7746958,3281.3902267184076,2273.2470067816926,1387.090726159007,2124.0379000000003,0,0,745908.024468623,749189.4146953414,255652.472795519
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,R10EUROPE,C3,35217.2163824,14682.881520644614,10732.054936907722,81293.26065282967,430.394933662997,146.05998426105828,198.514468756791,488.14110000000016,0,0,141925.413492782,142355.808426445,66610.37913218506
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,R10INDIA+,C3,8248.642628622,20729.05106554605,5256.811794,652156.3556315852,613.1864493171566,203.3266979751817,188.9248858966632,326.1744,0,0,686390.8611197532,687004.0475690704,631427.3045660392
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,R10LATIN_AM,C3,34479.399742144,5760.5807074242975,1399.068431350977,98698.86232170761,428.5309376312605,124.54455480664029,39.453641314050884,180.64299999999997,0,0,140337.91120262686,140766.44214025812,92938.28161428332
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,R10MIDDLE_EAST,C3,3997.056420896,11831.67297136694,44.510982284261075,252543.48421582734,413.23153704422225,274.4682795521715,9.467509156892936,400.62600000000003,0,0,268416.72459037456,268829.9561274188,240711.8112444604
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,R10NORTH_AM,C3,19475.10418662,8033.98298695647,23941.510154259646,81412.39061648896,594.8496066066202,255.94150044494535,21.072978101762498,761.8435,0,0,132862.98794432508,133457.8375509317,73378.40762953249
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,R10PAC_OECD,C3,1572.6934939100001,4263.870513137084,2479.362491183613,32769.14513040904,216.3180913194463,51.2714151158861,55.64581508551791,225.9256,0,0,41085.07162863974,41301.38971995918,28505.274617271953
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,R10REF_ECON,C3,58165.18599168,62878.24751200943,58467.31726405931,352213.8184185214,2128.133339986182,607.8574257657455,501.99245416305047,584.5799999999998,0,0,531724.5691862701,533852.7025262563,289335.570906512
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,R10REST_ASIA,C3,19105.467230872,23840.71417813467,39612.57340615235,321050.26471525314,891.1611020709735,232.90023663051412,287.066852982929,348.16569999999996,0,0,403609.0195304122,404500.1806324832,297209.55053711846
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,R10AFRICA,C2,492.65354598000005,2394.4198151086816,292.1765074,143654.72244207634,180.30578949054,41.304558920231095,16.058101565447,169.2738,0,0,146833.972310565,147014.27810005556,141260.30262696766
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,R10CHINA+,C2,27924.403268272,192746.23386366412,7437.721811560001,440147.6861865,3921.976386393789,2509.5235755506355,1464.399294446823,2787.0813999999996,0,0,668256.0451299961,672178.0215163899,247401.4523228359
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,R10EUROPE,C2,40199.29163147,14038.773880967889,10570.845852459262,74985.05289285768,893.8053522414051,367.5316741250372,216.9576870704652,1645.5280000000002,0,0,139793.96425775482,140687.76960999623,60946.2790118898
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,R10INDIA+,C2,9074.260542054,25575.857315518453,4674.3680079999995,455330.7350805409,771.3816627911607,290.0315205284093,215.17321185979236,515.7559999999999,0,0,494655.22094611335,495426.60260890453,429754.87776502245
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,R10LATIN_AM,C2,31883.931219688,6180.1846988287125,1140.18061464037,75745.30596616711,471.04780584573507,121.65885895801046,43.002355122295434,210.25739999999996,0,0,114949.6024993242,115420.65030516994,69565.1212673384
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,R10MIDDLE_EAST,C2,3634.01009048,15492.582772702885,44.510982284261075,175825.7138598834,442.7105155285553,248.73979723550482,20.306529510018333,443.2081,0,0,194996.81770535055,195439.52822087912,160333.13108718052
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,R10NORTH_AM,C2,28950.57309432,7833.400783102456,22457.00206117252,81758.38383148036,697.4408111032456,206.28102537053695,20.2197563620439,1051.455999999999,0,0,140999.35977007533,141696.80058117857,73924.98304837791
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,R10PAC_OECD,C2,1753.6132744100003,4502.991779533734,2090.51469794701,27916.99463623331,273.0158743225159,73.6705638960919,54.9292452100564,416.1607,0,0,36264.11438812406,36537.130262446575,23414.002856699575
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,R10REF_ECON,C2,55353.387024719996,68284.90783960653,52297.373159234965,227902.48176404182,2879.667435646015,851.0693688213855,499.29321837282833,948.8723999999999,0,0,403838.1497876033,406717.8172232493,159617.5739244353
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,R10REST_ASIA,C2,22097.231877608,25811.78491503583,32345.991274057982,248511.36311053825,993.465912892126,153.08994676125943,323.24732455180487,446.06429999999983,0,0,328766.37117724004,329759.8370901322,222699.57819550243
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,R10AFRICA,C3,395.72308654000005,2344.956369388523,377.8149078,233797.37295200094,170.1621672023904,36.465196447385104,14.732455531527,152.55720000000002,0,0,236915.86731572947,237086.02948293186,231452.4165826124
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,R10CHINA+,C3,23133.735030874,195218.01275464043,12726.76123821,602089.6324826,3298.3610920067463,2202.9527557984125,1382.1282271370524,2013.2702,0,0,833168.1415063245,836466.5025983313,406871.6197279596
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,R10EUROPE,C3,38180.77565889,13853.133336791769,19635.949443772504,101892.65374218396,487.48417030900214,213.12827418983855,216.5884416859653,518.2464,0,0,173562.51218163825,174049.99635194725,88039.52040539219
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,R10INDIA+,C3,7942.764839652,24187.915056550963,5199.834583,688376.1620689426,686.3950896902052,248.1553908798607,202.19439666108468,407.87179999999995,0,0,725706.6765481456,726393.0716378358,664188.2470123916
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,R10LATIN_AM,C3,29953.353738336,6092.8246924899895,1364.3944217744347,101231.80832762222,412.18438565831497,97.53855014306889,40.07101600360063,172.9664,0,0,138642.38118022264,139054.56556588097,95138.98363513223
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,R10MIDDLE_EAST,C3,2565.1068352,15310.095457230302,44.510982284261075,262474.5307791543,454.3540227162444,277.8957472355048,22.284964047934686,441.4162,0,0,280394.2440538688,280848.59807658504,247164.435321924
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,R10NORTH_AM,C3,22151.085970980002,7403.074265474076,26857.61100145529,114204.82009577054,636.2713513187274,378.5528002804178,22.176142872791097,913.9374,0,0,170616.5913336799,171252.86268499863,106801.74583029647
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,R10PAC_OECD,C3,1682.1289711000002,4374.3373812625,2538.6866700970595,40431.10307365214,224.453534863836,57.2573492611812,54.724568050507,251.64860000000002,0,0,49026.2560961117,49250.709630975536,36056.76569238964
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,R10REF_ECON,C3,52342.51500816,71648.73210224639,59135.8206347032,353320.9416485709,2427.9081538331816,679.5756881719427,497.7921669859315,724.5554999999997,0,0,536448.0093936805,538875.9175475137,281672.2095463245
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,R10REST_ASIA,C3,15159.169389616001,23768.25602039832,43313.145743626395,379777.4300507339,925.5163682681191,187.03405554812574,298.7734230786039,394.93350000000004,0,0,462018.00120437465,462943.51757264277,356009.17403033556
