"model","scenario","Category","r10_region","year","deaths_pm25","deaths_o3","deaths_total"
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2010,1588024,0,1588024
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2020,1659627,0,1659627
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2030,1567662,0,1567662
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2040,1068618,0,1068618
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2050,966665,0,966665
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2060,902061,0,902061
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2070,843644,0,843644
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2080,812892,0,812892
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2090,750379,0,750379
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2100,703174,0,703174
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10EUROPE",2010,261163,0,261163
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10EUROPE",2020,234927,0,234927
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10EUROPE",2030,202831,0,202831
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10EUROPE",2040,182536,0,182536
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10EUROPE",2050,197140,0,197140
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10EUROPE",2060,200336,0,200336
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10EUROPE",2070,202983,0,202983
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10EUROPE",2080,213858,0,213858
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10EUROPE",2090,220927,0,220927
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10EUROPE",2100,230348,0,230348
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10INDIA+",2010,1214206,0,1214206
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10INDIA+",2020,1228980,0,1228980
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10INDIA+",2030,1437566,0,1437566
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10INDIA+",2040,950034,0,950034
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10INDIA+",2050,949491,0,949491
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10INDIA+",2060,1049166,0,1049166
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10INDIA+",2070,1166779,0,1166779
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10INDIA+",2080,1276815,0,1276815
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10INDIA+",2090,1335124,0,1335124
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10INDIA+",2100,1374816,0,1374816
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10LATIN_AM",2010,152861,0,152861
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10LATIN_AM",2020,170610,0,170610
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10LATIN_AM",2030,194168,0,194168
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10LATIN_AM",2040,199243,0,199243
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10LATIN_AM",2050,220794,0,220794
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10LATIN_AM",2060,244116,0,244116
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10LATIN_AM",2070,266656,0,266656
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10LATIN_AM",2080,285645,0,285645
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10LATIN_AM",2090,300264,0,300264
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10LATIN_AM",2100,312234,0,312234
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10MIDDLE_EAST",2010,209889,0,209889
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10MIDDLE_EAST",2020,258654,0,258654
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10MIDDLE_EAST",2030,282402,0,282402
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10MIDDLE_EAST",2040,312809,0,312809
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10MIDDLE_EAST",2050,403562,0,403562
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10MIDDLE_EAST",2060,516145,0,516145
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10MIDDLE_EAST",2070,637931,0,637931
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10MIDDLE_EAST",2080,743855,0,743855
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10MIDDLE_EAST",2090,839832,0,839832
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10MIDDLE_EAST",2100,947362,0,947362
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10NORTH_AM",2010,122246,0,122246
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10NORTH_AM",2020,119890,0,119890
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10NORTH_AM",2030,106475,0,106475
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10NORTH_AM",2040,108137,0,108137
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10NORTH_AM",2050,119980,0,119980
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10NORTH_AM",2060,127566,0,127566
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10NORTH_AM",2070,139594,0,139594
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10NORTH_AM",2080,160572,0,160572
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10NORTH_AM",2090,180539,0,180539
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10NORTH_AM",2100,198034,0,198034
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10PAC_OECD",2010,79700,0,79700
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10PAC_OECD",2020,83937,0,83937
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10PAC_OECD",2030,86886,0,86886
