"Model","Scenario","Category","total_cdr","total_re","Ambition","cdr_thresh","re_thresh","high_cdr","high_re","Pathway_overlap","high_cdr_only","high_re_only","Pathway_excl","threshold_label"
"IMAGE 3.2","SSP2021-SSP2-SPA2-45-Renewables","C4",209220.70532009,1778551.44589272,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"IMAGE 3.3","NAVIGATE Demand-1.5°C-ele_u","C3",772225.502630608,1958671.84924445,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,TRUE,"Both High",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.3","NAVIGATE Demand-1.5°C-tec_u","C3",759175.790569589,1664038.1407893,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.3","NAVIGATE Demand-2.0°C-ele_u","C3",584591.804761934,1554284.52330658,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.3","NAVIGATE Demand-2.0°C-ref","C3",572177.94958529,1342490.21109318,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.3","NAVIGATE Demand-2.0°C-tec_u","C3",563838.663853716,1359121.25656336,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.3","NAVIGATE Demand-NPi-ele","C4",58338.0105108168,1138476.52189317,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.3","NAVIGATE Demand-NPi-ref","C4",45412.052542657,930675.367491381,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.3","NAVIGATE Demand-NPi-tec","C4",33666.6130403252,1097496.00931934,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"MESSAGEix-GLOBIOM 1.1","ENGAGE-NPi2100","C4",214103.934742035,987353.207088478,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
