"Model_Group","Model","Scenario","ModelGroup_Scenario","Region","Category","Variable","Total_Value","Ambition","cumulative_deaths_mln","jobs_Renewables","jobs_Fossil","jobs_Nuclear","jobs_Bioenergy","cumulative_gap_EJ","mean_headcount_millions","cumulative_implied_CO2_GtCO2","pop_mln","mort_per_1k","headcount_pct","re_jobs_per_1k","fossil_jobs_per_1k","net_re_jobs_per_1k","gap_GJ_pc","implied_CO2_tpc"
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1000f-COV","COMPASS_ENGAGE-NPi2020-1000f-COV","R10PAC_OECD","C4","Renewable Capacity",57677.0874955654,"2C (Medium-Ambition)",7.08214,32701.2304144796,5800.38348402504,5324.66728684885,3375.2162705723,0.598755586303894,1.8945376100834,28.7727525278609,155.65,45.5004176035978,1.21717803410434,210.09463806283,37.2655540252171,172.829084037613,3.8468074931185,184.855461149123
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1000f-COV","COMPASS_ENGAGE-NPi2020-1000f-COV","R10PAC_OECD","C4","Total CDR",33697.5220006747,"2C (Medium-Ambition)",7.08214,32701.2304144796,5800.38348402504,5324.66728684885,3375.2162705723,0.598755586303894,1.8945376100834,28.7727525278609,155.65,45.5004176035978,1.21717803410434,210.09463806283,37.2655540252171,172.829084037613,3.8468074931185,184.855461149123
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1000f-COV","COMPASS_ENGAGE-NPi2020-1000f-COV","R10REF_ECON","C4","Fossil CCS",22578.5709017625,"2C (Medium-Ambition)",16.42888,133841.330946959,35203.2262036463,24736.1035419618,23238.4596112496,0.604599964708777,2.62114897122134,28.2408098574583,287.169525146484,57.2096917025568,0.912753179462305,466.070802181,122.586915118132,343.483887062868,2.10537648241182,98.3419457306715
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1000f-COV","COMPASS_ENGAGE-NPi2020-1000f-COV","R10REF_ECON","C4","Land-based CDR",63341.3284301758,"2C (Medium-Ambition)",16.42888,133841.330946959,35203.2262036463,24736.1035419618,23238.4596112496,0.604599964708777,2.62114897122134,28.2408098574583,287.169525146484,57.2096917025568,0.912753179462305,466.070802181,122.586915118132,343.483887062868,2.10537648241182,98.3419457306715
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1000f-COV","COMPASS_ENGAGE-NPi2020-1000f-COV","R10REF_ECON","C4","Novel CDR",12645.2845089436,"2C (Medium-Ambition)",16.42888,133841.330946959,35203.2262036463,24736.1035419618,23238.4596112496,0.604599964708777,2.62114897122134,28.2408098574583,287.169525146484,57.2096917025568,0.912753179462305,466.070802181,122.586915118132,343.483887062868,2.10537648241182,98.3419457306715
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1000f-COV","COMPASS_ENGAGE-NPi2020-1000f-COV","R10REF_ECON","C4","Renewable Capacity",58833.6616144627,"2C (Medium-Ambition)",16.42888,133841.330946959,35203.2262036463,24736.1035419618,23238.4596112496,0.604599964708777,2.62114897122134,28.2408098574583,287.169525146484,57.2096917025568,0.912753179462305,466.070802181,122.586915118132,343.483887062868,2.10537648241182,98.3419457306715
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1000f-COV","COMPASS_ENGAGE-NPi2020-1000f-COV","R10REF_ECON","C4","Total CDR",98565.1838408819,"2C (Medium-Ambition)",16.42888,133841.330946959,35203.2262036463,24736.1035419618,23238.4596112496,0.604599964708777,2.62114897122134,28.2408098574583,287.169525146484,57.2096917025568,0.912753179462305,466.070802181,122.586915118132,343.483887062868,2.10537648241182,98.3419457306715
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1000f-COV","COMPASS_ENGAGE-NPi2020-1000f-COV","R10REST_ASIA","C4","Fossil CCS",23320.65538741,"2C (Medium-Ambition)",66.4816,145529.36513561,14025.8316463599,13519.284986122,11584.2305391046,5.62920519243821,31.0100280695453,311.951895478104,1136.58399683923,58.4924653038236,2.72835339541839,128.04101196244,12.3403388446123,115.700673117828,4.9527401477521,274.464444639043
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1000f-COV","COMPASS_ENGAGE-NPi2020-1000f-COV","R10REST_ASIA","C4","Land-based CDR",53590.1329040527,"2C (Medium-Ambition)",66.4816,145529.36513561,14025.8316463599,13519.284986122,11584.2305391046,5.62920519243821,31.0100280695453,311.951895478104,1136.58399683923,58.4924653038236,2.72835339541839,128.04101196244,12.3403388446123,115.700673117828,4.9527401477521,274.464444639043
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1000f-COV","COMPASS_ENGAGE-NPi2020-1000f-COV","R10REST_ASIA","C4","Novel CDR",13107.7758886814,"2C (Medium-Ambition)",66.4816,145529.36513561,14025.8316463599,13519.284986122,11584.2305391046,5.62920519243821,31.0100280695453,311.951895478104,1136.58399683923,58.4924653038236,2.72835339541839,128.04101196244,12.3403388446123,115.700673117828,4.9527401477521,274.464444639043
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1000f-COV","COMPASS_ENGAGE-NPi2020-1000f-COV","R10REST_ASIA","C4","Renewable Capacity",97173.0322535038,"2C (Medium-Ambition)",66.4816,145529.36513561,14025.8316463599,13519.284986122,11584.2305391046,5.62920519243821,31.0100280695453,311.951895478104,1136.58399683923,58.4924653038236,2.72835339541839,128.04101196244,12.3403388446123,115.700673117828,4.9527401477521,274.464444639043
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1000f-COV","COMPASS_ENGAGE-NPi2020-1000f-COV","R10REST_ASIA","C4","Total CDR",90018.5641801442,"2C (Medium-Ambition)",66.4816,145529.36513561,14025.8316463599,13519.284986122,11584.2305391046,5.62920519243821,31.0100280695453,311.951895478104,1136.58399683923,58.4924653038236,2.72835339541839,128.04101196244,12.3403388446123,115.700673117828,4.9527401477521,274.464444639043
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1200f","COMPASS_ENGAGE-NPi2020-1200f","R10AFRICA","C4","Fossil CCS",44842.8059873389,"2C (Medium-Ambition)",85.89482,360269.149182338,26992.1520779815,1659.15838017687,55123.377332339,92.9361036840612,363.762422037096,3831.19740480096,1070.4991,80.2381057583327,33.9806378199754,336.543159337862,25.2145490621912,311.328610275671,86.8156766166933,3578.88895450819
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1200f","COMPASS_ENGAGE-NPi2020-1200f","R10AFRICA","C4","Land-based CDR",50201.315032959,"2C (Medium-Ambition)",85.89482,360269.149182338,26992.1520779815,1659.15838017687,55123.377332339,92.9361036840612,363.762422037096,3831.19740480096,1070.4991,80.2381057583327,33.9806378199754,336.543159337862,25.2145490621912,311.328610275671,86.8156766166933,3578.88895450819
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1200f","COMPASS_ENGAGE-NPi2020-1200f","R10AFRICA","C4","Novel CDR",11826.8955748081,"2C (Medium-Ambition)",85.89482,360269.149182338,26992.1520779815,1659.15838017687,55123.377332339,92.9361036840612,363.762422037096,3831.19740480096,1070.4991,80.2381057583327,33.9806378199754,336.543159337862,25.2145490621912,311.328610275671,86.8156766166933,3578.88895450819
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1200f","COMPASS_ENGAGE-NPi2020-1200f","R10AFRICA","C4","Renewable Capacity",216480.350201726,"2C (Medium-Ambition)",85.89482,360269.149182338,26992.1520779815,1659.15838017687,55123.377332339,92.9361036840612,363.762422037096,3831.19740480096,1070.4991,80.2381057583327,33.9806378199754,336.543159337862,25.2145490621912,311.328610275671,86.8156766166933,3578.88895450819
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1200f","COMPASS_ENGAGE-NPi2020-1200f","R10AFRICA","C4","Total CDR",106871.016595106,"2C (Medium-Ambition)",85.89482,360269.149182338,26992.1520779815,1659.15838017687,55123.377332339,92.9361036840612,363.762422037096,3831.19740480096,1070.4991,80.2381057583327,33.9806378199754,336.543159337862,25.2145490621912,311.328610275671,86.8156766166933,3578.88895450819
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1200f","COMPASS_ENGAGE-NPi2020-1200f","R10CHINA+","C4","Fossil CCS",81827.0382483219,"2C (Medium-Ambition)",95.6929,369398.359904478,163191.869501819,31055.581475137,60361.6983690681,0.623495413592598,3.39293024533885,57.4393926257953,1428.03039550781,67.0104083925827,0.237595099937093,258.67681883138,114.277588218833,144.399230612547,0.436612144639177,40.2228081464398
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1200f","COMPASS_ENGAGE-NPi2020-1200f","R10CHINA+","C4","Land-based CDR",51269.3720092773,"2C (Medium-Ambition)",95.6929,369398.359904478,163191.869501819,31055.581475137,60361.6983690681,0.623495413592598,3.39293024533885,57.4393926257953,1428.03039550781,67.0104083925827,0.237595099937093,258.67681883138,114.277588218833,144.399230612547,0.436612144639177,40.2228081464398
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1200f","COMPASS_ENGAGE-NPi2020-1200f","R10CHINA+","C4","Novel CDR",23177.3473434448,"2C (Medium-Ambition)",95.6929,369398.359904478,163191.869501819,31055.581475137,60361.6983690681,0.623495413592598,3.39293024533885,57.4393926257953,1428.03039550781,67.0104083925827,0.237595099937093,258.67681883138,114.277588218833,144.399230612547,0.436612144639177,40.2228081464398
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1200f","COMPASS_ENGAGE-NPi2020-1200f","R10CHINA+","C4","Renewable Capacity",367283.61787633,"2C (Medium-Ambition)",95.6929,369398.359904478,163191.869501819,31055.581475137,60361.6983690681,0.623495413592598,3.39293024533885,57.4393926257953,1428.03039550781,67.0104083925827,0.237595099937093,258.67681883138,114.277588218833,144.399230612547,0.436612144639177,40.2228081464398
"COMPASS","POLES-JRC ENGAGE","ENGAGE-NPi2020-1200f","COMPASS_ENGAGE-NPi2020-1200f","R10CHINA+","C4","Total CDR",156273.757601044,"2C (Medium-Ambition)",95.6929,369398.359904478,163191.869501819,31055.581475137,60361.6983690681,0.623495413592598,3.39293024533885,57.4393926257953,1428.03039550781,67.0104083925827,0.237595099937093,258.67681883138,114.277588218833,144.399230612547,0.436612144639177,40.2228081464398
