family,Model,Scenario,project,amb,classification_state,cdr_all,cdr_cutoff,cdr_ratio_to_cutoff,cdr_percentile,renewables,re_cutoff,re_ratio_to_cutoff,re_percentile
REMIND,REMIND 2.1,LeastTotalCost-LTC-brkSR15-SSP5-P50,LeastTotalCost,2C,High-RE,425845.21435,550795.0699210565,0.773146379852374,0.5382857142857143,3358700.33545,1914001.2595672116,1.7548057080220834,0.912
REMIND,REMIND 2.1,LeastTotalCost-NDC-brkLR15-SSP2-P50,LeastTotalCost,2C,High-RE,173690.89265,550795.0699210565,0.31534576494102334,0.28114285714285714,2632248.2634,1914001.2595672116,1.3752594206731068,0.8331428571428572
REMIND,REMIND 2.1,LeastTotalCost-NDC-brkSR15-SSP2-P50,LeastTotalCost,2C,High-RE,175745.03045,550795.0699210565,0.31907516978172823,0.28914285714285715,2640730.1625,1914001.2595672116,1.3796909219887945,0.8342857142857143
REMIND,REMIND 2.1,LeastTotalCost-NPi-brkLR15-SSP2-P50,LeastTotalCost,2C,High-RE,8907.7722,550795.0699210565,0.01617257068273454,0.072,1944990.2075,1914001.2595672116,1.0161906622463746,0.6914285714285714
REMIND,REMIND 2.1,LeastTotalCost-Base-brkLR15-SSP1-P50,LeastTotalCost,2C,Low both - excluded,0,550795.0699210565,0,0,1127405.0023,1914001.2595672116,0.5890304390682196,0.2057142857142857
REMIND,REMIND 2.1,LeastTotalCost-Base-brkLR15-SSP2-P50,LeastTotalCost,2C,Low both - excluded,0,550795.0699210565,0,0,1804066.36125,1914001.2595672116,0.9425627868489127,0.5897142857142857
REMIND,REMIND 2.1,LeastTotalCost-Base-brkLR15-SSP5-P50,LeastTotalCost,2C,Low both - excluded,0,550795.0699210565,0,0,1104218.9035,1914001.2595672116,0.5769164978238743,0.19885714285714284
REMIND,REMIND 2.1,LeastTotalCost-Base-brkSR15-SSP1-P50,LeastTotalCost,2C,Low both - excluded,0,550795.0699210565,0,0,1137348.33575,1914001.2595672116,0.5942254896985668,0.20914285714285713
REMIND,REMIND 2.1,LeastTotalCost-Base-brkSR15-SSP2-P50,LeastTotalCost,2C,Low both - excluded,0,550795.0699210565,0,0,1730195.7391000001,1914001.2595672116,0.9039679208420307,0.5348571428571428
REMIND,REMIND 2.1,LeastTotalCost-Base-brkSR15-SSP5-P50,LeastTotalCost,2C,Low both - excluded,0,550795.0699210565,0,0,1026725.41515,1914001.2595672116,0.5364288085067197,0.18514285714285714
REMIND,REMIND 2.1,LeastTotalCost-NPi-brkLR15-SSP1-P50,LeastTotalCost,2C,Low both - excluded,765.68085,550795.0699210565,0.001390137442787464,0.045714285714285714,1273297.8435499999,1914001.2595672116,0.6652544438961938,0.24914285714285714
REMIND,REMIND 2.1,LeastTotalCost-NPi-brkLR15-SSP5-P50,LeastTotalCost,2C,Low both - excluded,36252.99975,550795.0699210565,0.06581939768487037,0.11428571428571428,1313526.56945,1914001.2595672116,0.6862725731680087,0.2765714285714286
REMIND,REMIND 2.1,LeastTotalCost-NPi-brkSR15-SSP1-P50,LeastTotalCost,2C,Low both - excluded,827.6465999999999,550795.0699210565,0.001502639811425007,0.046857142857142854,1291119.8785,1914001.2595672116,0.6745658457883901,0.2674285714285714
REMIND,REMIND 2.1,LeastTotalCost-NPi-brkSR15-SSP2-P50,LeastTotalCost,2C,Low both - excluded,9019.3711,550795.0699210565,0.016375184878275533,0.07314285714285715,1896612.94505,1914001.2595672116,0.9909152021555391,0.6548571428571428
REMIND,REMIND 2.1,LeastTotalCost-NPi-brkSR15-SSP5-P50,LeastTotalCost,2C,Low both - excluded,35899.50105,550795.0699210565,0.0651776005459623,0.11314285714285714,1279618.2037,1914001.2595672116,0.6685566152601924,0.25485714285714284
REMIND,REMIND 2.1,R2p1-SSP5-900,R2p1,1.5C,High both - excluded,722832.69175,565430.0377324205,1.2783768875258577,0.8051948051948052,4310529.6125,2704533.9788519694,1.5938160312298053,0.8917748917748918
REMIND,REMIND 2.1,R2p1-SSP2-900,R2p1,1.5C,High-RE,183518.10515,565430.0377324205,0.3245637707645921,0.19913419913419914,3956658.91655,2704533.9788519694,1.4629725296442893,0.8181818181818182
REMIND,REMIND 2.1,R2p1-SSP5-1100,R2p1,1.5C,High-RE,362498.7528,565430.0377324205,0.641102751197569,0.30735930735930733,4113868.6484000003,2704533.9788519694,1.5211007443678968,0.8528138528138528
REMIND,REMIND 2.1,R2p1-SSP1-1100,R2p1,1.5C,Low both - excluded,94649.87015,565430.0377324205,0.1673944853187855,0.1038961038961039,2478423.16905,2704533.9788519694,0.9163956483556737,0.5930735930735931
REMIND,REMIND 2.1,R2p1-SSP1-1300,R2p1,1.5C,Low both - excluded,99110.1373,565430.0377324205,0.17528275946829355,0.11255411255411256,2290405.51545,2704533.9788519694,0.8468762209533192,0.5541125541125541
REMIND,REMIND 2.1,R2p1-SSP1-900,R2p1,1.5C,Low both - excluded,92155.3838,565430.0377324205,0.16298282307317188,0.09956709956709957,2695519.49935,2704533.9788519694,0.9966669009994115,0.658008658008658
REMIND,REMIND 2.1,R2p1-SSP1-NDC,R2p1,2C,High-RE,66631.3635,550795.0699210565,0.12097305720174664,0.15885714285714286,2016613.81545,1914001.2595672116,1.0536115404155957,0.7382857142857143
REMIND,REMIND 2.1,R2p1-SSP2-1100,R2p1,2C,High-RE,137726.98505,550795.0699210565,0.2500512306142099,0.23085714285714284,3759205.5424,1914001.2595672116,1.964055939675829,0.9394285714285714
