approach,Region,Ambition,outcome,n_models,median_model_effect,n_re_lower,n_re_higher
C,R10AFRICA,2C (Medium-Ambition),headcount_pct,1,-3.2437673662082496,1,0
C,R10AFRICA,2C (Medium-Ambition),net_re_jobs_per_1k,1,438.55642638403293,0,1
C,R10CHINA+,1.5C (High-Ambition),gap_GJ_pc,1,0.0819668433282601,0,1
C,R10CHINA+,1.5C (High-Ambition),headcount_pct,1,0.04221851641301999,0,1
C,R10CHINA+,1.5C (High-Ambition),net_re_jobs_per_1k,1,182.40674644027752,0,1
C,R10CHINA+,2C (Medium-Ambition),gap_GJ_pc,1,-0.09281086899843305,1,0
C,R10CHINA+,2C (Medium-Ambition),headcount_pct,1,-0.10507241256162503,1,0
C,R10CHINA+,2C (Medium-Ambition),net_re_jobs_per_1k,1,60.15748040038871,0,1
C,R10EUROPE,1.5C (High-Ambition),gap_GJ_pc,1,-0.3860138076060231,1,0
C,R10EUROPE,1.5C (High-Ambition),headcount_pct,1,-0.12872079460989516,1,0
C,R10EUROPE,1.5C (High-Ambition),net_re_jobs_per_1k,1,28.761159842890546,0,1
C,R10EUROPE,2C (Medium-Ambition),gap_GJ_pc,1,-0.6909834382179953,1,0
C,R10EUROPE,2C (Medium-Ambition),headcount_pct,1,-0.3304331802501699,1,0
C,R10EUROPE,2C (Medium-Ambition),net_re_jobs_per_1k,1,9.194762589910594,0,1
C,R10INDIA+,1.5C (High-Ambition),gap_GJ_pc,1,-0.04365134002233195,1,0
C,R10INDIA+,1.5C (High-Ambition),headcount_pct,1,-0.03945551141192005,1,0
C,R10INDIA+,1.5C (High-Ambition),net_re_jobs_per_1k,1,152.61786686942048,0,1
C,R10INDIA+,2C (Medium-Ambition),gap_GJ_pc,1,0.06999670369544908,0,1
C,R10INDIA+,2C (Medium-Ambition),headcount_pct,1,0.05465144589052151,0,1
C,R10INDIA+,2C (Medium-Ambition),net_re_jobs_per_1k,1,30.244299729378497,0,1
C,R10LATIN_AM,1.5C (High-Ambition),gap_GJ_pc,1,-5.962624240021796,1,0
C,R10LATIN_AM,1.5C (High-Ambition),headcount_pct,1,-1.872670514725101,1,0
C,R10LATIN_AM,1.5C (High-Ambition),net_re_jobs_per_1k,1,215.42690266524198,0,1
C,R10LATIN_AM,2C (Medium-Ambition),gap_GJ_pc,1,-7.423296173609948,1,0
C,R10LATIN_AM,2C (Medium-Ambition),headcount_pct,1,-2.6013567694497475,1,0
C,R10LATIN_AM,2C (Medium-Ambition),net_re_jobs_per_1k,1,160.7860634633274,0,1
C,R10MIDDLE_EAST,1.5C (High-Ambition),gap_GJ_pc,1,-2.3216561648498057e-4,1,0
C,R10MIDDLE_EAST,1.5C (High-Ambition),headcount_pct,1,-0.021010122922516028,1,0
C,R10MIDDLE_EAST,1.5C (High-Ambition),net_re_jobs_per_1k,1,905.5138596891679,0,1
C,R10MIDDLE_EAST,2C (Medium-Ambition),gap_GJ_pc,1,-0.1436825266518964,1,0
C,R10MIDDLE_EAST,2C (Medium-Ambition),headcount_pct,1,-0.098876713280592,1,0
C,R10MIDDLE_EAST,2C (Medium-Ambition),net_re_jobs_per_1k,1,964.985627990036,0,1
C,R10NORTH_AM,1.5C (High-Ambition),gap_GJ_pc,1,3.1808995181023043,0,1
C,R10NORTH_AM,1.5C (High-Ambition),headcount_pct,1,0.7440819532385907,0,1
C,R10NORTH_AM,1.5C (High-Ambition),net_re_jobs_per_1k,1,196.78502203805306,0,1
C,R10NORTH_AM,2C (Medium-Ambition),gap_GJ_pc,1,-0.884323539408248,1,0
C,R10NORTH_AM,2C (Medium-Ambition),headcount_pct,1,-0.25916114174100535,1,0
C,R10NORTH_AM,2C (Medium-Ambition),net_re_jobs_per_1k,1,117.6844741175522,0,1
C,R10PAC_OECD,1.5C (High-Ambition),gap_GJ_pc,1,1.541755906440219,0,1
C,R10PAC_OECD,1.5C (High-Ambition),headcount_pct,1,0.49146718163712455,0,1
C,R10PAC_OECD,1.5C (High-Ambition),net_re_jobs_per_1k,1,78.99818780572988,0,1
C,R10PAC_OECD,2C (Medium-Ambition),gap_GJ_pc,1,-1.075761180731039,1,0
C,R10PAC_OECD,2C (Medium-Ambition),headcount_pct,1,-0.3478488573156948,1,0
C,R10PAC_OECD,2C (Medium-Ambition),net_re_jobs_per_1k,1,46.020762137790854,0,1
C,R10REF_ECON,1.5C (High-Ambition),gap_GJ_pc,1,0.015441122818455,0,1
C,R10REF_ECON,1.5C (High-Ambition),headcount_pct,1,-0.009952057647283463,1,0
C,R10REF_ECON,1.5C (High-Ambition),net_re_jobs_per_1k,1,493.0092364352834,0,1
C,R10REF_ECON,2C (Medium-Ambition),gap_GJ_pc,1,-0.1979941617764649,1,0
C,R10REF_ECON,2C (Medium-Ambition),headcount_pct,1,-0.0957891811362635,1,0
C,R10REF_ECON,2C (Medium-Ambition),net_re_jobs_per_1k,1,435.6455812420435,0,1
C,R10REST_ASIA,1.5C (High-Ambition),gap_GJ_pc,1,-0.4883481174114017,1,0
C,R10REST_ASIA,1.5C (High-Ambition),headcount_pct,1,-0.6386908409152801,1,0
C,R10REST_ASIA,1.5C (High-Ambition),net_re_jobs_per_1k,1,154.14910370817796,0,1
C,R10REST_ASIA,2C (Medium-Ambition),gap_GJ_pc,1,-0.6410100939696104,1,0
C,R10REST_ASIA,2C (Medium-Ambition),headcount_pct,1,-0.5584942364539804,1,0
C,R10REST_ASIA,2C (Medium-Ambition),net_re_jobs_per_1k,1,51.7032576882155,0,1
