Model,Scenario,Category,Ambition,fossil_ccs,renewables,novel_cdr,engineered_cmt,cmt_high,re_high,high_cmt,high_re,Pathway,cmt_axis,portfolio_rule,approach
AIM/CGE V2.2,ENGAGE-NPi2020-1800,C3,2C (Medium-Ambition),637394.8699,1497546.3932,0,637394.8699,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-1800f,C3,2C (Medium-Ambition),637394.8699,1497546.3932,0,637394.8699,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-300f,C1,1.5C (High-Ambition),486762.6304,2183379.2478,0,486762.6304,403983.6134199853,2704533.9788519694,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-400f,C2,1.5C (High-Ambition),483558.0288,2149040.9647,0,483558.0288,403983.6134199853,2704533.9788519694,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-500f,C2,1.5C (High-Ambition),528827.4196,2081672.1921,0,528827.4196,403983.6134199853,2704533.9788519694,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-600,C1,1.5C (High-Ambition),492906.5518,2069205.6401,0,492906.5518,403983.6134199853,2704533.9788519694,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-600f,C2,1.5C (High-Ambition),582604.2678,2009006.2654,0,582604.2678,403983.6134199853,2704533.9788519694,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-700,C3,2C (Medium-Ambition),488068.7663,2048387.646,0,488068.7663,335872.01218836295,1914001.2595672116,TRUE,TRUE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-700f,C3,2C (Medium-Ambition),637253.4841,1931847.5093,0,637253.4841,335872.01218836295,1914001.2595672116,TRUE,TRUE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-800,C3,2C (Medium-Ambition),507823.3504,2005620.4287,0,507823.3504,335872.01218836295,1914001.2595672116,TRUE,TRUE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
