approach,Region,Ambition,outcome,n_cmt,n_re,median_cmt,median_re,re_minus_cmt
A,R10REST_ASIA,2C (Medium-Ambition),net_re_jobs_per_1k,216,222,98.27148178417875,540.3428505685356,442.0713687843569
C,Aggregated R10 regions,1.5C (High-Ambition),gap_GJ_pc,7,7,20.7611762911255,18.3963744308508,-2.364801860274703
C,Aggregated R10 regions,1.5C (High-Ambition),headcount_pct,7,7,7.84982921276773,6.86227038505792,-0.98755882770981
C,Aggregated R10 regions,1.5C (High-Ambition),net_re_jobs_per_1k,7,7,264.360800446051,526.35060572005,261.989805273999
C,Aggregated R10 regions,2C (Medium-Ambition),gap_GJ_pc,63,63,19.0468039059758,20.4777911849095,1.4309872789336993
C,Aggregated R10 regions,2C (Medium-Ambition),headcount_pct,63,63,6.86603658292006,7.60077498164794,0.7347383987278802
C,Aggregated R10 regions,2C (Medium-Ambition),net_re_jobs_per_1k,63,63,181.542892400061,292.895961025399,111.35306862533801
C,R10AFRICA,1.5C (High-Ambition),gap_GJ_pc,7,7,72.8426951710033,71.6156046558171,-1.2270905151862053
C,R10AFRICA,1.5C (High-Ambition),headcount_pct,7,7,30.1976654084044,28.0480496024555,-2.1496158059489012
C,R10AFRICA,1.5C (High-Ambition),net_re_jobs_per_1k,7,7,350.325431959635,873.998830429395,523.67339846976
C,R10AFRICA,2C (Medium-Ambition),gap_GJ_pc,63,63,82.318184835764,77.6288405412875,-4.6893442944764985
C,R10AFRICA,2C (Medium-Ambition),headcount_pct,63,63,31.9261531445689,33.2254193892564,1.2992662446875016
C,R10AFRICA,2C (Medium-Ambition),net_re_jobs_per_1k,63,63,282.007983681296,369.537718058782,87.52973437748597
C,R10CHINA+,1.5C (High-Ambition),gap_GJ_pc,7,7,0.939929362923797,0.738413645737899,-0.201515717185898
C,R10CHINA+,1.5C (High-Ambition),headcount_pct,7,7,0.517270297028719,0.458617759209414,-0.05865253781930496
C,R10CHINA+,1.5C (High-Ambition),net_re_jobs_per_1k,7,7,162.047975381128,246.925466170506,84.87749078937802
C,R10CHINA+,2C (Medium-Ambition),gap_GJ_pc,63,63,0.53667210524912,0.719299116854658,0.18262701160553796
C,R10CHINA+,2C (Medium-Ambition),headcount_pct,63,63,0.299911628229314,0.352048962317971,0.052137334088657006
C,R10CHINA+,2C (Medium-Ambition),net_re_jobs_per_1k,63,63,132.446910688855,275.907057567035,143.46014687817998
C,R10EUROPE,1.5C (High-Ambition),gap_GJ_pc,7,7,8.53530971635323,5.22453315636936,-3.3107765599838705
C,R10EUROPE,1.5C (High-Ambition),headcount_pct,7,7,3.15697723572228,2.03222498151215,-1.1247522542101298
C,R10EUROPE,1.5C (High-Ambition),net_re_jobs_per_1k,7,7,23.8506092222523,118.722499543395,94.8718903211427
C,R10EUROPE,2C (Medium-Ambition),gap_GJ_pc,63,63,4.4162809816243,3.65965139100185,-0.7566295906224494
C,R10EUROPE,2C (Medium-Ambition),headcount_pct,63,63,1.61790250997671,1.02944174866836,-0.5884607613083499
C,R10EUROPE,2C (Medium-Ambition),net_re_jobs_per_1k,63,63,65.0899470475308,125.74933408942,60.659387041889204
C,R10INDIA+,1.5C (High-Ambition),gap_GJ_pc,7,7,0.992205326196613,0.660955728228331,-0.3312495979682819
C,R10INDIA+,1.5C (High-Ambition),headcount_pct,7,7,0.913403168037712,0.608252574721701,-0.305150593316011
C,R10INDIA+,1.5C (High-Ambition),net_re_jobs_per_1k,7,7,221.1060361948,663.331580139787,442.22554394498695
C,R10INDIA+,2C (Medium-Ambition),gap_GJ_pc,63,63,1.20974276372571,0.917242729553176,-0.2925000341725341
C,R10INDIA+,2C (Medium-Ambition),headcount_pct,63,63,1.2027802870095,0.813147376032366,-0.38963291097713393
C,R10INDIA+,2C (Medium-Ambition),net_re_jobs_per_1k,63,63,281.934871247928,256.901383269936,-25.033487977992024
C,R10LATIN_AM,1.5C (High-Ambition),gap_GJ_pc,7,7,72.5392736584028,51.2469090218298,-21.292364636573005
C,R10LATIN_AM,1.5C (High-Ambition),headcount_pct,7,7,20.3079126940389,13.5759297397709,-6.731982954268002
C,R10LATIN_AM,1.5C (High-Ambition),net_re_jobs_per_1k,7,7,209.827738009531,367.968438577386,158.140700567855
C,R10LATIN_AM,2C (Medium-Ambition),gap_GJ_pc,63,63,60.5793970716066,53.17165712315,-7.4077399484566016
C,R10LATIN_AM,2C (Medium-Ambition),headcount_pct,63,63,16.8536793717498,14.0814975298035,-2.772181841946299
