Model,Scenario
IMAGE 3.3,NAVIGATE Demand-2.0<U+00B0>C-ref
IMAGE 3.3,NAVIGATE Demand-2.0<U+00B0>C-tec_u
IMAGE 3.3,SHAPE-SDP-EI-1.5<U+00B0>C
IMAGE 3.3,SHAPE-SDP-EI-1.5<U+00B0>C [with Climate Change Impacts]
IMAGE 3.3,SHAPE-SDP-MC-1.5<U+00B0>C
IMAGE 3.3,SHAPE-SDP-MC-1.5<U+00B0>C [with Climate Change Impacts]
IMAGE 3.3,SHAPE-SDP-RC-1.5<U+00B0>C
IMAGE 3.3,SHAPE-SDP-RC-1.5<U+00B0>C [with Climate Change Impacts]
IMAGE 3.3,SHAPE-SSP1-1.5<U+00B0>C
IMAGE 3.3,SHAPE-SSP2-1.5<U+00B0>C
IMAGE 3.3,SHAPE-SSP2-1.5<U+00B0>C [with Climate Change Impacts]
MESSAGEix-GLOBIOM 1.1,ENGAGE-Feasibility-1000/Institutional
MESSAGEix-GLOBIOM 1.1,ENGAGE-Feasibility-1000/Technology
MESSAGEix-GLOBIOM 1.1,ENGAGE-Feasibility-1000/Technology & Institutional
MESSAGEix-GLOBIOM 1.1,ENGAGE-Feasibility-Maximum-Effort/Technology & Institutional [Optimistic]
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1000-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1000-COV-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1000-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1000f
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1000f-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1000f-COV-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1000f-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1200-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1200-COV-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1200f
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1200f-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1400
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1400-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1400-COV-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1400-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1600
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-1600-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-800f
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-800f-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-800f-COV-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-800f-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-900f
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-900f-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-900f-COV-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-900f-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-950-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-950-COV-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-950f-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-INDCi2030-950f-COV-NDCp
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-1000
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-1000-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-1000-DR1p
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-1000f
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-1000f-DR10p
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-1000f-DR3p
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-1000f-DR4p
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-1200
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-1200-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-1400
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-1400-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-1600
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-1600-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-1800
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-600-DR10p
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-800-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-800f
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-800f-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-900-COV
MESSAGEix-GLOBIOM 1.1,ENGAGE-NPi2020-900f
MESSAGEix-GLOBIOM 1.1,NGFS Phase 2-Below 2<U+00B0>C
MESSAGEix-GLOBIOM 1.1,NGFS Phase 2-Delayed Transition
MESSAGEix-GLOBIOM 1.2,COVID-Shift-GreenPush_1000
MESSAGEix-GLOBIOM 1.2,COVID-Shift-GreenPush_550
MESSAGEix-GLOBIOM 1.2,COVID-Shift-NoPolicyNoCOVID_1000
MESSAGEix-GLOBIOM 1.2,COVID-Shift-NoPolicyNoCOVID_550
MESSAGEix-GLOBIOM 1.2,COVID-Shift-Restore_1000
MESSAGEix-GLOBIOM 1.2,COVID-Shift-Restore_550
MESSAGEix-GLOBIOM 1.2,COVID-Shift-SelfReliance_1000
MESSAGEix-GLOBIOM 1.2,COVID-Shift-SelfReliance_550
MESSAGEix-GLOBIOM 1.2,COVID-Shift-SmartUse_1000
MESSAGEix-GLOBIOM 1.2,COVID-Shift-SmartUse_550
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2<U+00B0>C
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs)
MESSAGEix-GLOBIOM GEI 1.0,GEI-SSP2-int-lc-15
MESSAGEix-GLOBIOM GEI 1.0,GEI-SSP2-int-mc-15
MESSAGEix-GLOBIOM GEI 1.0,GEI-SSP2-int-mc-50
MESSAGEix-GLOBIOM GEI 1.0,GEI-SSP2-noint-lc-15
MESSAGEix-GLOBIOM GEI 1.0,GEI-SSP2-noint-mc-15
MESSAGEix-GLOBIOM GEI 1.0,GEI-SSP2-noint-mc-50
MESSAGEix-GLOBIOM GEI 1.0,GEI-SSP2-openres-lc-100
MESSAGEix-GLOBIOM GEI 1.0,GEI-SSP2-openres-lc-120
MESSAGEix-GLOBIOM GEI 1.0,GEI-SSP2-openres-lc-15
MESSAGEix-GLOBIOM GEI 1.0,GEI-SSP2-openres-lc-80
MESSAGEix-GLOBIOM GEI 1.0,GEI-SSP2-openres-lc-CB400
MESSAGEix-GLOBIOM GEI 1.0,GEI-SSP2-openres-lc-CB600
MESSAGEix-GLOBIOM GEI 1.0,GEI-SSP2-openres-mc-15
MESSAGEix-GLOBIOM GEI 1.0,GEI-SSP2-openres-mc-50
POLES-JRC ENGAGE,ENGAGE-Feasibility-1000/Cost-Effective
POLES-JRC ENGAGE,ENGAGE-Feasibility-1000/Institutional
POLES-JRC ENGAGE,ENGAGE-Feasibility-1000/Technology
POLES-JRC ENGAGE,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional
POLES-JRC ENGAGE,ENGAGE-Feasibility-1000/Technology & Institutional
POLES-JRC ENGAGE,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective
POLES-JRC ENGAGE,ENGAGE-Feasibility-Maximum-Effort/Institutional
POLES-JRC ENGAGE,ENGAGE-Feasibility-Maximum-Effort/Institutional [Optimistic]
POLES-JRC ENGAGE,ENGAGE-Feasibility-Maximum-Effort/Technology
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1400
