"Model","Scenario","Category","total_cdr","total_re","Ambition","cdr_thresh","re_thresh","high_cdr","high_re","Pathway_overlap","high_cdr_only","high_re_only","Pathway_excl","threshold_label"
"AIM/CGE V2.2","ENGAGE-INDCi2030-900f","C3",455822.4862,1928637.1643,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"AIM/CGE V2.2","ENGAGE-INDCi2100","C4",422604.0961,1293248.647,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"AIM/CGE V2.2","ENGAGE-NPi2020-1000","C3",650563.8775,1824135.2392,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-NPi2020-1000f","C3",709840.3755,1755606.9144,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-NPi2020-1200","C3",711376.8371,1705643.62,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-NPi2020-1200f","C4",708024.0359,1665230.0656,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-NPi2020-1400","C4",696488.9916,1622322.9743,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-NPi2020-1400f","C4",685647.3573,1611005.7705,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-NPi2020-1600","C3",670823.5008,1540805.1032,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-NPi2020-1600f","C3",671274.7675,1541651.689,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-NPi2020-1800","C3",637394.8699,1497546.3932,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-NPi2020-1800f","C3",637394.8699,1497546.3932,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
