"Model_Group","Model","Scenario","ModelGroup_Scenario","Region","Category","Variable","Total_Value","proxy"
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10INDIA+","C3","Renewable Capacity",357489.6868,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10INDIA+","C3","Total CDR",8250.4666,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10LATIN_AM","C3","Fossil CCS",2778.2381,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10LATIN_AM","C3","Renewable Capacity",87846.5675,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10LATIN_AM","C3","Total CDR",2778.2381,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10MIDDLE_EAST","C3","Fossil CCS",5627.0757,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10MIDDLE_EAST","C3","Renewable Capacity",193092.1828,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10MIDDLE_EAST","C3","Total CDR",5627.0757,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10NORTH_AM","C3","Fossil CCS",26344.5491,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10NORTH_AM","C3","Renewable Capacity",301140.1623,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10NORTH_AM","C3","Total CDR",26344.5491,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10PAC_OECD","C3","Fossil CCS",7666.0902,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10PAC_OECD","C3","Renewable Capacity",80323.7654,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10PAC_OECD","C3","Total CDR",7666.0902,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10REF_ECON","C3","Fossil CCS",17288.9887,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10REF_ECON","C3","Renewable Capacity",169569.9176,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Enablers & Institutional","R10REF_ECON","C3","Total CDR",17288.9887,FALSE
