database,spec_id,is_baseline,threshold_scale,threshold_label,gini_shift,gini_label,efficiency_label,sef_rate,sef_floor,ambition,Region,outcome,High-CMT,High-RE,n_High-CMT,n_High-RE,raw_advantage_high_re,direction
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10CHINA+,gap_GJ_pc,5.715334482997271,4.668481772314748,293,297,1.046852710682523,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10CHINA+,headcount_pct,2.4570888557323225,2.124023271769002,293,297,0.3330655839633203,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10EUROPE,gap_GJ_pc,0.027605203579220135,0.012393686997588502,293,297,0.015211516581631633,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10EUROPE,headcount_pct,0.016234695580444523,0.00948131857016216,293,297,0.006753377010282363,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10INDIA+,gap_GJ_pc,0.8929340819112681,0.32183516315444294,290,297,0.5710989187568252,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10INDIA+,headcount_pct,0.5543801909688792,0.259865746434153,290,297,0.29451444453472625,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10LATIN_AM,gap_GJ_pc,30.105096669124222,20.473320146049378,293,297,9.631776523074844,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10LATIN_AM,headcount_pct,8.676944397792083,5.656839217744141,293,297,3.020105180047942,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10MIDDLE_EAST,gap_GJ_pc,0.5140712065089654,1.09433471538237,290,297,-0.5802635088734045,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10MIDDLE_EAST,headcount_pct,0.3126118165113422,0.4045507177730894,290,297,-0.0919389012617472,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10NORTH_AM,gap_GJ_pc,0.015515073871312506,0.010889875647163235,293,297,0.004625198224149271,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10NORTH_AM,headcount_pct,0.006182879564759816,0.005460767428169101,293,297,7.221121365907149e-4,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10PAC_OECD,gap_GJ_pc,0.02301128655155514,0.05086733483327882,290,293,-0.02785604828172368,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10PAC_OECD,headcount_pct,0.011593272585764992,0.040190022268909116,290,293,-0.028596749683144122,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10REF_ECON,gap_GJ_pc,2.143901445600279,2.150171480468725,293,297,-0.006270034868446128,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10REF_ECON,headcount_pct,0.7988451475464189,0.7913504816076288,293,297,0.007494665938790113,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10REST_ASIA,gap_GJ_pc,2.282045921993122,4.965511439366602,290,297,-2.68346551737348,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10REST_ASIA,headcount_pct,1.744575681438949,1.8254967839120377,290,297,-0.0809211024730887,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,Aggregated R10 regions,gap_GJ_pc,6.699298623573208,4.574130193274707,67,67,2.125168430298501,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,Aggregated R10 regions,headcount_pct,2.4638411727178062,1.6089172467410569,67,67,0.8549239259767494,High-RE
