database,ambition,Region,outcome,baseline_advantage,baseline_direction,min_advantage,max_advantage,n_specs,n_high_re,n_high_cmt,n_tie,direction_stable
SCI-vetted,1.5C,R10REST_ASIA,gap_GJ_pc,4.049795720832645,High-RE,0.5589068605011045,14.229994158967173,27,27,0,0,TRUE
SCI-vetted,1.5C,R10REST_ASIA,headcount_pct,1.6776566172592027,High-RE,0.1616418302397813,3.9681281837061135,27,27,0,0,TRUE
SCI-vetted,2C,Aggregated R10 regions,gap_GJ_pc,-3.117585706290445,High-CMT,-18.26694496455798,-0.3470709531523912,27,0,27,0,TRUE
SCI-vetted,2C,Aggregated R10 regions,headcount_pct,-1.4451600981907697,High-CMT,-1.971918470429788,-0.06706490523053299,27,0,27,0,TRUE
SCI-vetted,2C,R10AFRICA,gap_GJ_pc,10.137014219339818,High-RE,0.48918739788097554,21.705555992442555,27,27,0,0,TRUE
SCI-vetted,2C,R10AFRICA,headcount_pct,0.2172126968219601,High-RE,-0.32268464286266063,1.5770254572842433,27,21,6,0,FALSE
SCI-vetted,2C,R10CHINA+,gap_GJ_pc,-0.5560917941717722,High-CMT,-1.871096843915474,6.636274718871682,27,7,20,0,FALSE
SCI-vetted,2C,R10CHINA+,headcount_pct,0.22487586689612282,High-RE,-0.20121596987273538,1.772807668587424,27,17,10,0,FALSE
SCI-vetted,2C,R10EUROPE,gap_GJ_pc,-0.046466669988486364,High-CMT,-0.5059562353583686,8.393032231903382,27,7,20,0,FALSE
SCI-vetted,2C,R10EUROPE,headcount_pct,-0.025255829022833437,High-CMT,-0.09601133029212211,2.100367922417133,27,12,15,0,FALSE
SCI-vetted,2C,R10INDIA+,gap_GJ_pc,1.9073029755713256,High-RE,-0.007807610298762091,19.884312751372306,27,25,2,0,FALSE
SCI-vetted,2C,R10INDIA+,headcount_pct,0.38772395240739277,High-RE,-0.08507067103586985,2.250596021652564,27,21,6,0,FALSE
SCI-vetted,2C,R10LATIN_AM,gap_GJ_pc,10.290845893993435,High-RE,0.7650002728604424,39.86696426963084,27,27,0,0,TRUE
SCI-vetted,2C,R10LATIN_AM,headcount_pct,2.4662986344786724,High-RE,0.4846073320581401,4.579843472790014,27,27,0,0,TRUE
SCI-vetted,2C,R10MIDDLE_EAST,gap_GJ_pc,-3.570883906390736,High-CMT,-18.723164698754566,-0.15731314329134372,27,0,27,0,TRUE
SCI-vetted,2C,R10MIDDLE_EAST,headcount_pct,-0.22237091283185229,High-CMT,-0.5050094879214964,1.0008142404392153,27,5,22,0,FALSE
SCI-vetted,2C,R10NORTH_AM,gap_GJ_pc,0.5517212500815816,High-RE,9.000942248110748e-5,25.712973475030648,27,27,0,0,TRUE
SCI-vetted,2C,R10NORTH_AM,headcount_pct,0.2162994092040406,High-RE,6.76385921483734e-5,4.082374844998025,27,27,0,0,TRUE
SCI-vetted,2C,R10PAC_OECD,gap_GJ_pc,-0.15955848502968492,High-CMT,-1.8663132664059736,0.5599604053827196,27,2,25,0,FALSE
SCI-vetted,2C,R10PAC_OECD,headcount_pct,-0.040253102451471456,High-CMT,-0.2682360641619109,0.233063751610036,27,2,25,0,FALSE
SCI-vetted,2C,R10REF_ECON,gap_GJ_pc,-0.9630113732023879,High-CMT,-3.0516202177230696,8.215512426228116,27,7,20,0,FALSE
SCI-vetted,2C,R10REF_ECON,headcount_pct,0.3705122607003317,High-RE,-0.21588454743346697,3.8535721749269882,27,20,7,0,FALSE
SCI-vetted,2C,R10REST_ASIA,gap_GJ_pc,-18.02006992296236,High-CMT,-72.6311592634506,-2.4796180377393,27,0,27,0,TRUE
SCI-vetted,2C,R10REST_ASIA,headcount_pct,-1.4996554285635657,High-CMT,-2.2344705400581795,-0.29327503534997135,27,0,27,0,TRUE
SCI-vetted,All ambitions,Aggregated R10 regions,gap_GJ_pc,-1.1221145068308473,High-CMT,-4.396534395544869,0.28122290141999784,27,3,24,0,FALSE
SCI-vetted,All ambitions,Aggregated R10 regions,headcount_pct,-0.4703385356105363,High-CMT,-0.8689174700740256,0.11466335203262523,27,3,24,0,FALSE
SCI-vetted,All ambitions,R10AFRICA,gap_GJ_pc,14.56282876952119,High-RE,5.4483712453969115,30.65250795167111,27,27,0,0,TRUE
SCI-vetted,All ambitions,R10AFRICA,headcount_pct,2.3482234674111986,High-RE,1.2666189224200988,3.836528039176791,27,27,0,0,TRUE
SCI-vetted,All ambitions,R10CHINA+,gap_GJ_pc,-0.3844039951601914,High-CMT,-1.5752277634095453,8.476313152743579,27,11,16,0,FALSE
SCI-vetted,All ambitions,R10CHINA+,headcount_pct,0.3515795794195897,High-RE,-0.19825716141952832,2.064900812556326,27,20,7,0,FALSE
SCI-vetted,All ambitions,R10EUROPE,gap_GJ_pc,-0.03163658790107238,High-CMT,-0.343683881510215,9.204977281911166,27,8,19,0,FALSE
