database,Model,Scenario,Pathway,ambition,Region,spec_id,is_baseline,threshold_scale,threshold_label,gini_shift,gini_label,efficiency_label,sef_rate,sef_floor,n_years,gap_GJ_pc,headcount_pct
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,R10EUROPE,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,0.27101554403045264,0.11282164856664971
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,R10INDIA+,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,7.559436651568611,3.840110131963887
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,R10LATIN_AM,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,85.53663674942966,17.6914972071657
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,R10MIDDLE_EAST,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,0.41982888694170245,0.25515467197798275
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,R10NORTH_AM,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,0.10287408364037558,0.028202602884615142
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,R10PAC_OECD,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,0.6779471066340397,0.2358677674137309
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,R10REF_ECON,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,6.673011060359231,1.2667789587812113
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,High-RE,1.5C,R10REST_ASIA,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,22.24263879152269,6.351994200780614
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,R10AFRICA,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,169.81725448316072,33.48933496384698
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,R10CHINA+,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,16.86677670901051,4.911298474263325
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,R10EUROPE,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,0.21869977581007707,0.09241820619187027
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,R10INDIA+,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,10.579304104066226,5.0893679681724295
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,R10LATIN_AM,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,97.4390374230096,19.559986173649758
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,R10MIDDLE_EAST,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,0.9723159546525074,0.557531431943779
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,R10NORTH_AM,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,0.07545266462593402,0.021739364104569486
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,R10PAC_OECD,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,0.4976030981616438,0.1767430199159543
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,R10REF_ECON,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,11.382716078954454,2.0936799584073724
Full,AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,2C,R10REST_ASIA,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,29.18267880667026,7.837274678012955
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CMT,2C,R10AFRICA,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,157.73000904272922,32.19691431398048
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CMT,2C,R10CHINA+,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,12.926511094918437,4.033882059755096
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CMT,2C,R10EUROPE,T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5,81,0.23800371523266492,0.09361448893248345
