database,spec_id,is_baseline,threshold_scale,threshold_label,gini_shift,gini_label,efficiency_label,sef_rate,sef_floor,ambition,Region,outcome,Pathway,n_scenarios,median
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10REST_ASIA,gap_GJ_pc,High-RE,67,5.564692931551124
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10REST_ASIA,headcount_pct,High-CMT,67,2.4176317095960056
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10REST_ASIA,headcount_pct,High-RE,67,2.0693854619879914
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,Aggregated R10 regions,gap_GJ_pc,High-CMT,226,6.9825855352622535
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,Aggregated R10 regions,gap_GJ_pc,High-RE,230,5.327160909638215
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,Aggregated R10 regions,headcount_pct,High-CMT,226,2.693545367027783
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,Aggregated R10 regions,headcount_pct,High-RE,230,1.9278870708309788
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10AFRICA,gap_GJ_pc,High-CMT,223,20.893244197099982
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10AFRICA,gap_GJ_pc,High-RE,230,12.011324087716424
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10AFRICA,headcount_pct,High-CMT,223,5.253089937994587
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10AFRICA,headcount_pct,High-RE,230,3.5341474490954123
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10CHINA+,gap_GJ_pc,High-CMT,226,5.390547785033842
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10CHINA+,gap_GJ_pc,High-RE,230,4.632345406450538
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10CHINA+,headcount_pct,High-CMT,226,2.2923173887444133
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10CHINA+,headcount_pct,High-RE,230,2.0788425977831873
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10EUROPE,gap_GJ_pc,High-CMT,226,0.02483834443521787
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10EUROPE,gap_GJ_pc,High-RE,230,0.012389526522243415
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10EUROPE,headcount_pct,High-CMT,226,0.014366675792836917
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10EUROPE,headcount_pct,High-RE,230,0.009368781315536222
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10INDIA+,gap_GJ_pc,High-CMT,223,0.8523975129525247
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10INDIA+,gap_GJ_pc,High-RE,230,0.32031078995763296
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10INDIA+,headcount_pct,High-CMT,223,0.5104853056852561
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10INDIA+,headcount_pct,High-RE,230,0.255711917960964
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10LATIN_AM,gap_GJ_pc,High-CMT,226,28.337803783127978
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10LATIN_AM,gap_GJ_pc,High-RE,230,20.57910777930372
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10LATIN_AM,headcount_pct,High-CMT,226,8.188932652431514
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10LATIN_AM,headcount_pct,High-RE,230,5.807789751770178
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10MIDDLE_EAST,gap_GJ_pc,High-CMT,223,0.4343604758032105
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10MIDDLE_EAST,gap_GJ_pc,High-RE,230,1.0816876698167173
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10MIDDLE_EAST,headcount_pct,High-CMT,223,0.288836262349203
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10MIDDLE_EAST,headcount_pct,High-RE,230,0.4003813123044586
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10NORTH_AM,gap_GJ_pc,High-CMT,226,0.008023292289277175
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10NORTH_AM,gap_GJ_pc,High-RE,230,0.010630152341944268
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10NORTH_AM,headcount_pct,High-CMT,226,0.0034137373985245033
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10NORTH_AM,headcount_pct,High-RE,230,0.005434264139860414
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10PAC_OECD,gap_GJ_pc,High-CMT,223,0.020234304997387785
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10PAC_OECD,gap_GJ_pc,High-RE,226,0.048790181240425244
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10PAC_OECD,headcount_pct,High-CMT,223,0.00965619348095251
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10PAC_OECD,headcount_pct,High-RE,226,0.03792317113908089
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10REF_ECON,gap_GJ_pc,High-CMT,226,1.9971935841489188
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10REF_ECON,gap_GJ_pc,High-RE,230,2.0960526658062646
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10REF_ECON,headcount_pct,High-CMT,226,0.7342872014415587
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10REF_ECON,headcount_pct,High-RE,230,0.7594591537682119
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10REST_ASIA,gap_GJ_pc,High-CMT,223,2.252153638510991
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10REST_ASIA,gap_GJ_pc,High-RE,230,4.936922772606247
