database,ambition_view,Region,new_n_cdr,new_n_re,new_median_cdr,new_median_re,new_effect_million_deaths,new_relative_effect_pct,new_favours,old_n_cdr,old_n_re,old_median_cdr,old_median_re,old_effect_million_deaths,old_relative_effect_pct,old_favours,added_cdr,added_re,effect_shift_pct_points,direction_changed
Full,1.5C,R10REF_ECON,57,54,13.85288,13.053595000000001,0.7992849999999994,5.769811042902265,High-RE,48,39,13.84942,13.090665,0.7587550000000007,5.478604880204375,High-RE,9,15,0.2912061626978897,FALSE
Full,1.5C,R10REST_ASIA,57,54,55.86006,55.9140625,-0.05400250000000284,-0.09667461868104482,High-CDR,48,39,55.50919,56.093065,-0.583874999999999,-1.0518528553560214,High-CDR,9,15,0.9551782366749766,FALSE
Full,2C,Aggregated R10 regions,189,172,440.495065,434.621435,5.8736299999999915,1.333415619537075,High-RE,178,165,438.7368225,435.19535,3.5414724999999976,0.8071974628936001,High-RE,11,7,0.5262181566434749,FALSE
Full,2C,R10AFRICA,189,172,76.67628,78.687545,-2.0112649999999945,-2.6230602214922194,High-CDR,178,165,76.6407025,78.69661,-2.0559075000000036,-2.682526951002313,High-CDR,11,7,0.059466729510093685,FALSE
Full,2C,R10CHINA+,189,172,79.6431,78.890895,0.7522050000000036,0.9444697657424228,High-RE,178,165,79.45526000000001,78.78534,0.6699200000000047,0.8431411589364941,High-RE,11,7,0.1013286068059287,FALSE
Full,2C,R10EUROPE,189,172,15.090355,11.23325,3.8571050000000007,25.560068003701705,High-RE,178,165,15.080575,11.23065,3.849924999999999,25.529033209940597,High-RE,11,7,0.031034793761108403,FALSE
Full,2C,R10INDIA+,189,172,120.71229,113.02140750000001,7.6908824999999865,6.3712505992554584,High-RE,178,165,120.520155,113.429315,7.090839999999986,5.883530435220553,High-RE,11,7,0.48772016403490515,FALSE
Full,2C,R10LATIN_AM,189,172,14.110035,15.629935,-1.5198999999999998,-10.771766335094135,High-CDR,178,165,14.0183925,15.66286,-1.6444674999999993,-11.730785109633642,High-CDR,11,7,0.9590187745395067,FALSE
Full,2C,R10MIDDLE_EAST,189,172,46.89536,46.60901,0.28634999999999877,0.6106147815050333,High-RE,178,165,47.0277775,46.59787,0.4299074999999988,0.9141565322749917,High-RE,11,7,-0.3035417507699584,FALSE
Full,2C,R10NORTH_AM,189,172,6.83158,8.92639,-2.09481,-30.663623934726665,High-CDR,178,165,6.816545,8.92639,-2.109845,-30.951823834508538,High-CDR,11,7,0.28819989978187266,FALSE
Full,2C,R10PAC_OECD,189,172,5.60067,3.6358025,1.9648675,35.08272224573131,High-RE,178,165,5.5958725000000005,3.63313,1.9627425000000005,35.07482523949572,High-RE,11,7,0.007897006235587867,FALSE
Full,2C,R10REF_ECON,189,172,14.39159,13.27017,1.1214200000000005,7.792189744149191,High-RE,178,165,14.3795975,13.258825,1.1207724999999993,7.794185477027431,High-RE,11,7,-0.001995732878239842,FALSE
Full,2C,R10REST_ASIA,189,172,59.455035,57.862415,1.5926200000000037,2.6786965981939184,High-RE,178,165,59.353629999999995,57.954615,1.3990149999999986,2.357084141273244,High-RE,11,7,0.3216124569206742,FALSE
SCI-vetted,All ambitions,Aggregated R10 regions,69,69,420.124325,442.17121,-22.046884999999975,-5.247704950195391,High-CDR,68,66,419.921,442.17121,-22.25020999999998,-5.298665701405736,High-CDR,1,3,0.05096075121034449,FALSE
SCI-vetted,All ambitions,R10AFRICA,69,69,73.7414,78.522135,-4.780735000000007,-6.483108538758428,High-CDR,68,66,73.7414,78.40185,-4.660449999999997,-6.31999121253461,High-CDR,1,3,-0.16311732622381747,FALSE
SCI-vetted,All ambitions,R10CHINA+,69,69,81.837665,92.36805,-10.530384999999995,-12.867406468647408,High-CDR,68,66,81.49095,92.2781,-10.787149999999995,-13.237236772917722,High-CDR,1,3,0.36983030427031416,FALSE
SCI-vetted,All ambitions,R10EUROPE,69,69,12.232365,17.823535,-5.59117,-45.70800495243561,High-CDR,68,66,12.2243525,17.8237375,-5.599385,-45.80516636770741,High-CDR,1,3,0.097161415271799,FALSE
SCI-vetted,All ambitions,R10INDIA+,69,69,115.212715,96.08855,19.124165000000005,16.599005587187147,High-RE,68,66,114.783415,96.0811575,18.7022575,16.29351897223131,High-RE,1,3,0.30548661495583573,FALSE
SCI-vetted,All ambitions,R10LATIN_AM,69,69,13.423695,15.41072,-1.9870249999999992,-14.802369988293083,High-CDR,68,66,13.421655,15.4067875,-1.9851324999999989,-14.790519500016943,High-CDR,1,3,-0.011850488276140325,FALSE
SCI-vetted,All ambitions,R10MIDDLE_EAST,69,69,43.605375,50.07149,-6.466114999999995,-14.828710910065547,High-CDR,68,66,43.605375,50.691064999999995,-7.0856899999999925,-16.249579323649876,High-CDR,1,3,1.4208684135843281,FALSE
SCI-vetted,All ambitions,R10NORTH_AM,69,69,6.70137,10.559495,-3.8581250000000002,-57.572183001386286,High-CDR,68,66,6.70137,10.559685,-3.858315,-57.57501824253847,High-CDR,1,3,0.0028352411521836984,FALSE
SCI-vetted,All ambitions,R10PAC_OECD,69,69,4.495145,5.272255,-0.7771100000000004,-17.287762686186994,High-CDR,68,66,4.4866975,5.2721325,-0.7854349999999997,-17.505860379488468,High-CDR,1,3,0.21809769330147333,FALSE
SCI-vetted,All ambitions,R10REF_ECON,69,69,13.31229,15.212805,-1.9005149999999986,-14.276394219176403,High-CDR,68,66,13.302315,15.263105,-1.9607899999999991,-14.740216270626574,High-CDR,1,3,0.46382205145017075,FALSE
SCI-vetted,All ambitions,R10REST_ASIA,69,69,56.248365,55.137975,1.1103900000000024,1.9740840467096288,High-RE,68,66,56.115097500000005,55.1134925,1.001605000000005,1.784911805597424,High-RE,1,3,0.18917224111220476,FALSE
SCI-vetted,1.5C,Aggregated R10 regions,6,6,481.9203375,428.3386425,53.581695000000025,11.118371820114362,High-RE,6,6,481.9203375,428.3386425,53.581695000000025,11.118371820114362,High-RE,0,0,0,FALSE
SCI-vetted,1.5C,R10AFRICA,6,6,78.6303025,78.659675,-0.029372499999993806,-0.037355191403459,High-CDR,6,6,78.6303025,78.659675,-0.0293724999999938,-0.03735519140345899,High-CDR,0,0,-6.938893903907228e-18,FALSE
