database,ambition_view,Region,excluded_family,n_cdr,n_re,median_cdr_million_deaths,median_re_million_deaths,direction_coded_difference_million_deaths,loo_effect_pct,favours,pooled_effect_pct,pooled_favours,direction_flip
Full,2C,R10MIDDLE_EAST,POLES,133,172,59.43065,46.60901,12.821640000000002,21.574120424393815,High-RE,0.6106147815050333,High-RE,FALSE
Full,2C,R10MIDDLE_EAST,REMIND,189,38,46.89536,57.826575000000005,-10.931215000000009,-23.30980079905562,High-CDR,0.6106147815050333,High-RE,TRUE
Full,2C,R10MIDDLE_EAST,WITCH,187,165,46.892815,46.591875,0.3009399999999971,0.6417614297627411,High-RE,0.6106147815050333,High-RE,FALSE
Full,2C,R10NORTH_AM,AIM,169,168,6.794725,8.92639,-2.131665,-31.372351346080965,High-CDR,-30.663623934726665,High-CDR,FALSE
Full,2C,R10NORTH_AM,GCAM,186,168,6.820365000000001,8.92639,-2.106024999999999,-30.878479377569953,High-CDR,-30.663623934726665,High-CDR,FALSE
Full,2C,R10NORTH_AM,IMAGE,153,170,6.76038,8.92639,-2.16601,-32.03976699534642,High-CDR,-30.663623934726665,High-CDR,FALSE
Full,2C,R10NORTH_AM,MESSAGEix,117,151,7.85526,8.94027,-1.0850099999999996,-13.812528165840464,High-CDR,-30.663623934726665,High-CDR,FALSE
Full,2C,R10NORTH_AM,POLES,133,172,7.352245,8.92639,-1.5741449999999997,-21.41039913659025,High-CDR,-30.663623934726665,High-CDR,FALSE
Full,2C,R10NORTH_AM,REMIND,189,38,6.83158,7.5226325,-0.6910525000000005,-10.115558919020206,High-CDR,-30.663623934726665,High-CDR,FALSE
Full,2C,R10NORTH_AM,WITCH,187,165,6.82216,8.92639,-2.1042299999999994,-30.844043528735757,High-CDR,-30.663623934726665,High-CDR,FALSE
Full,2C,R10PAC_OECD,AIM,169,168,5.517585,3.633605,1.8839800000000002,34.14501090603951,High-RE,35.08272224573131,High-RE,FALSE
Full,2C,R10PAC_OECD,GCAM,186,168,5.5963725,3.633605,1.9627675,35.07213824669462,High-RE,35.08272224573131,High-RE,FALSE
Full,2C,R10PAC_OECD,IMAGE,153,170,5.38731,3.6344875,1.7528225000000002,32.53613584516206,High-RE,35.08272224573131,High-RE,FALSE
Full,2C,R10PAC_OECD,MESSAGEix,117,151,5.73446,3.63127,2.10319,36.67633918450909,High-RE,35.08272224573131,High-RE,FALSE
Full,2C,R10PAC_OECD,POLES,133,172,5.809085,3.6358025,2.1732824999999996,37.41178688209933,High-RE,35.08272224573131,High-RE,FALSE
Full,2C,R10PAC_OECD,REMIND,189,38,5.60067,5.45151,0.14916000000000018,2.6632527893984146,High-RE,35.08272224573131,High-RE,FALSE
Full,2C,R10PAC_OECD,WITCH,187,165,5.620965,3.63313,1.987835,35.364657136274644,High-RE,35.08272224573131,High-RE,FALSE
Full,2C,R10REF_ECON,AIM,169,168,14.17889,13.260415,0.9184750000000008,6.477763774174147,High-RE,7.792189744149191,High-RE,FALSE
Full,2C,R10REF_ECON,GCAM,186,168,14.3560675,13.260415,1.0956525,7.631982087016517,High-RE,7.792189744149191,High-RE,FALSE
Full,2C,R10REF_ECON,IMAGE,153,170,14.1545,13.262005,0.8924950000000003,6.305379914514821,High-RE,7.792189744149191,High-RE,FALSE
Full,2C,R10REF_ECON,MESSAGEix,117,151,13.798935,13.224615,0.5743200000000002,4.162060332916998,High-RE,7.792189744149191,High-RE,FALSE
Full,2C,R10REF_ECON,POLES,133,172,14.657325,13.27017,1.387155,9.46390286085626,High-RE,7.792189744149191,High-RE,FALSE
Full,2C,R10REF_ECON,REMIND,189,38,14.39159,14.77489,-0.3832999999999984,-2.6633610323807058,High-CDR,7.792189744149191,High-RE,TRUE
Full,2C,R10REF_ECON,WITCH,187,165,14.367605,13.258825,1.1087799999999994,7.717222181428286,High-RE,7.792189744149191,High-RE,FALSE
Full,2C,R10REST_ASIA,AIM,169,168,58.47739,57.8320375,0.6453525000000013,1.103593200722538,High-RE,2.6786965981939184,High-RE,FALSE
Full,2C,R10REST_ASIA,GCAM,186,168,59.40902,57.8320375,1.5769824999999997,2.6544496105136894,High-RE,2.6786965981939184,High-RE,FALSE
Full,2C,R10REST_ASIA,IMAGE,153,170,57.834015,57.83849,-0.004474999999999341,-0.007737660959557002,High-CDR,2.6786965981939184,High-RE,TRUE
Full,2C,R10REST_ASIA,MESSAGEix,117,151,60.267065,57.893695,2.3733700000000013,3.938087909208788,High-RE,2.6786965981939184,High-RE,FALSE
Full,2C,R10REST_ASIA,POLES,133,172,60.882065,57.862415,3.0196499999999986,4.95983505158703,High-RE,2.6786965981939184,High-RE,FALSE
Full,2C,R10REST_ASIA,REMIND,189,38,59.455035,57.9220775,1.532957500000002,2.578347653819398,High-RE,2.6786965981939184,High-RE,FALSE
Full,2C,R10REST_ASIA,WITCH,187,165,59.52099,57.966665,1.5543249999999986,2.6113896963071324,High-RE,2.6786965981939184,High-RE,FALSE
SCI-vetted,All ambitions,Aggregated R10 regions,GCAM,69,62,420.124325,440.76525000000004,-20.64092500000004,-4.9130516306095915,High-CDR,-5.247704950195391,High-CDR,FALSE
