database,ambition_view,Region,family,n_cdr,n_re,median_cdr_million_deaths,median_re_million_deaths,cliffs_delta_raw,comparable,robust,direction_coded_difference_million_deaths,relative_effect_pct,direction_coded_cliffs_delta,favours,pooled_relative_effect_pct,pooled_favours,agrees_with_pooled
Full,All ambitions,R10MIDDLE_EAST,MESSAGEix,95,24,59.652065,57.826575000000005,-0.8482456140350877,TRUE,TRUE,1.825489999999995,3.0602293483050333,0.8482456140350877,High-RE,0.8616459232106964,High-RE,TRUE
Full,All ambitions,R10MIDDLE_EAST,POLES,60,0,43.1417725,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0.8616459232106964,High-RE,FALSE
Full,All ambitions,R10MIDDLE_EAST,REMIND,0,184,NA,46.48585,NA,FALSE,FALSE,NA,NA,NA,NA,0.8616459232106964,High-RE,FALSE
Full,All ambitions,R10MIDDLE_EAST,WITCH,8,7,67.4981375,67.154615,-0.2857142857142857,TRUE,TRUE,0.34352249999999174,0.5089362650932283,0.2857142857142857,High-RE,0.8616459232106964,High-RE,TRUE
Full,All ambitions,R10NORTH_AM,AIM,21,4,11.11874,10.8186625,-0.7857142857142857,TRUE,TRUE,0.30007750000000044,2.698844473384578,0.7857142857142857,High-RE,-29.232370671932635,High-CDR,FALSE
Full,All ambitions,R10NORTH_AM,GCAM,3,5,14.701405,12.071495,-1,TRUE,TRUE,2.629909999999999,17.88883443453193,1,High-RE,-29.232370671932635,High-CDR,FALSE
Full,All ambitions,R10NORTH_AM,IMAGE,59,2,10.556345,8.651589999999999,-0.6610169491525424,TRUE,FALSE,1.9047550000000015,18.043697889752575,0.6610169491525424,High-RE,-29.232370671932635,High-CDR,FALSE
Full,All ambitions,R10NORTH_AM,MESSAGEix,95,24,6.78721,6.807675,0.16842105263157894,TRUE,TRUE,-0.020464999999999733,-0.30152301166458284,-0.16842105263157894,High-CDR,-29.232370671932635,High-CDR,TRUE
Full,All ambitions,R10NORTH_AM,POLES,60,0,6.516535,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-29.232370671932635,High-CDR,FALSE
Full,All ambitions,R10NORTH_AM,REMIND,0,184,NA,8.92639,NA,FALSE,FALSE,NA,NA,NA,NA,-29.232370671932635,High-CDR,FALSE
Full,All ambitions,R10NORTH_AM,WITCH,8,7,10.610055,10.41442,-0.7142857142857143,TRUE,TRUE,0.19563499999999934,1.8438641458503218,0.7142857142857143,High-RE,-29.232370671932635,High-CDR,FALSE
Full,All ambitions,R10PAC_OECD,AIM,21,4,6.363485,6.3615975,-0.11904761904761904,TRUE,TRUE,0.0018874999999995978,0.029661419803764726,0.11904761904761904,High-RE,33.79008683934925,High-RE,TRUE
Full,All ambitions,R10PAC_OECD,GCAM,3,5,6.17564,5.82445,-0.8666666666666667,TRUE,TRUE,0.3511899999999999,5.68669805882467,0.8666666666666667,High-RE,33.79008683934925,High-RE,TRUE
Full,All ambitions,R10PAC_OECD,IMAGE,59,2,5.988085,5.87111,-0.1694915254237288,TRUE,FALSE,0.11697500000000005,1.9534625844489524,0.1694915254237288,High-RE,33.79008683934925,High-RE,TRUE
