"Model_Group","Model","Scenario","ModelGroup_Scenario","Region","Category","Variable","Total_Value","proxy"
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10LATIN_AM","C3","Total CDR",11996.4714639486,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10MIDDLE_EAST","C3","Fossil CCS",9931.12019260416,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10MIDDLE_EAST","C3","Renewable Capacity",159855.142607359,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10MIDDLE_EAST","C3","Total CDR",9931.12019260416,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10NORTH_AM","C3","Fossil CCS",13120.4857485984,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10NORTH_AM","C3","Renewable Capacity",345647.568661576,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10NORTH_AM","C3","Total CDR",13120.4857485984,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10PAC_OECD","C3","Fossil CCS",6122.20531827356,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10PAC_OECD","C3","Renewable Capacity",59805.4264731482,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10PAC_OECD","C3","Total CDR",6122.20531827356,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10REF_ECON","C3","Fossil CCS",9270.21717776997,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10REF_ECON","C3","Renewable Capacity",132590.612978479,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10REF_ECON","C3","Total CDR",9270.21717776997,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10REST_ASIA","C3","Fossil CCS",18423.0055364124,FALSE
