"Model","Scenario","Category","Ambition","total_cdr","total_re","Pathway_overlap","Pathway_excl","high_cdr_only","high_re_only","approach","vetting","ambition_method","threshold_label","top_frac"
"IMAGE 3.2","SSP2021-SSP2-SPA2-26-Renewables","C3","2C (Medium-Ambition)",1174576.12734791,2074357.60617239,"Both High",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-34-Default","C3","2C (Medium-Ambition)",672687.619525106,876946.126232003,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-34-Lifestyle","C3","2C (Medium-Ambition)",549981.026565024,767654.52946589,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-34-Lifestyle-Renewables","C3","2C (Medium-Ambition)",642254.014341902,1973323.81353873,"Both High",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-34-Renewables","C3","2C (Medium-Ambition)",705641.955317788,1974767.80185279,"Both High",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-45-Default","C4","2C (Medium-Ambition)",139515.606362025,821962.912696191,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-45-Lifestyle","C4","2C (Medium-Ambition)",333222.49472766,681934.114876183,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-45-Lifestyle-Renewables","C4","2C (Medium-Ambition)",324905.306402484,1467597.3805989,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-45-Renewables","C4","2C (Medium-Ambition)",209220.70532009,1778551.44589272,"High-RE only","High-RE",FALSE,TRUE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.3","NAVIGATE Demand-1.5°C-ele_u","C3","2C (Medium-Ambition)",772225.502630608,1958671.84924445,"Both High",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.3","NAVIGATE Demand-1.5°C-tec_u","C3","2C (Medium-Ambition)",759175.790569589,1664038.1407893,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.3","NAVIGATE Demand-2.0°C-ele_u","C3","2C (Medium-Ambition)",584591.804761934,1554284.52330658,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.3","NAVIGATE Demand-2.0°C-ref","C3","2C (Medium-Ambition)",572177.94958529,1342490.21109318,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.3","NAVIGATE Demand-2.0°C-tec_u","C3","2C (Medium-Ambition)",563838.663853716,1359121.25656336,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.3","NAVIGATE Demand-NPi-ele","C4","2C (Medium-Ambition)",58338.0105108168,1138476.52189317,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.3","NAVIGATE Demand-NPi-ref","C4","2C (Medium-Ambition)",45412.052542657,930675.367491381,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.3","NAVIGATE Demand-NPi-tec","C4","2C (Medium-Ambition)",33666.6130403252,1097496.00931934,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"MESSAGEix-GLOBIOM 1.1","ENGAGE-NPi2100","C4","2C (Medium-Ambition)",214103.934742035,987353.207088478,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
