"Model","Scenario","Category","Ambition","total_cdr","total_re","Pathway_overlap","Pathway_excl","high_cdr_only","high_re_only","approach","vetting","ambition_method","threshold_label","top_frac"
"AIM/CGE V2.2","ENGAGE-NPi2020-400f","C2","1.5C (High-Ambition)",483558.0288,2149040.9647,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-500f","C2","1.5C (High-Ambition)",528827.4196,2081672.1921,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-600","C1","1.5C (High-Ambition)",492906.5518,2069205.6401,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-600f","C2","1.5C (High-Ambition)",582604.2678,2009006.2654,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-700","C3","2C (Medium-Ambition)",488068.7663,2048387.646,"Both High",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-700f","C3","2C (Medium-Ambition)",637253.4841,1931847.5093,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-800","C3","2C (Medium-Ambition)",507823.3504,2005620.4287,"Both High",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-800f","C3","2C (Medium-Ambition)",705989.5249,1842360.7828,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-900","C3","2C (Medium-Ambition)",585453.6601,1913290.9329,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-900f","C3","2C (Medium-Ambition)",711060.1855,1799634.1672,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/Hub-Global 2.0","SDI-1.5°C","C1","1.5C (High-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/Hub-Global 2.0","SDI-2.5°C","C4","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
