database,ambition_view,Region,outcome,outcome_label,n_informative_families,n_robust_families,equal_family_mean_pct,equal_family_median_pct,robust_equal_family_mean_pct,robust_equal_family_median_pct,families_favour_re,families_favour_cdr,robust_families_favour_re,robust_families_favour_cdr
Full,1.5C,R10AFRICA,total_energy_jobyears_per_1k,Employment,4,1,22.859652353092674,0.0659944232591867,12.418933399121576,12.418933399121576,2,2,1,0
Full,1.5C,R10CHINA+,gap_GJ_pc,DLE gap,5,1,15.883816811731535,20.22904567621803,20.22904567621803,20.22904567621803,4,1,1,0
Full,1.5C,R10CHINA+,headcount_pct,Deprived headcount,5,1,21.231472344480686,20.884385491863494,23.839665169631182,23.839665169631182,4,1,1,0
Full,1.5C,R10CHINA+,mortality_million_deaths,PM2.5 mortality,1,1,-6.57347126230087,-6.57347126230087,-6.57347126230087,-6.57347126230087,0,1,0,1
Full,1.5C,R10CHINA+,total_energy_jobyears_per_1k,Employment,4,1,43.81002636943259,59.11964631335763,87.5242795540906,87.5242795540906,3,1,1,0
Full,1.5C,R10EUROPE,gap_GJ_pc,DLE gap,5,1,9.311211496160755,-3.387414988862039,53.53864566203998,53.53864566203998,2,3,1,0
Full,1.5C,R10EUROPE,headcount_pct,Deprived headcount,5,1,12.219558240295818,-9.269432691881208,51.68150150538273,51.68150150538273,2,3,1,0
Full,1.5C,R10EUROPE,mortality_million_deaths,PM2.5 mortality,1,1,-7.456682545821162,-7.456682545821162,-7.456682545821162,-7.456682545821162,0,1,0,1
Full,1.5C,R10EUROPE,total_energy_jobyears_per_1k,Employment,4,1,41.099032246634984,36.54172914977976,81.77845948725994,81.77845948725994,2,2,1,0
Full,1.5C,R10INDIA+,gap_GJ_pc,DLE gap,5,1,-0.16285139439248403,13.4526179555443,13.4526179555443,13.4526179555443,3,2,1,0
Full,1.5C,R10INDIA+,headcount_pct,Deprived headcount,5,1,4.564583665931786,20.236462644736246,20.236462644736246,20.236462644736246,3,2,1,0
Full,1.5C,R10INDIA+,mortality_million_deaths,PM2.5 mortality,1,1,2.321362032817032,2.321362032817032,2.321362032817032,2.321362032817032,1,0,1,0
Full,1.5C,R10INDIA+,total_energy_jobyears_per_1k,Employment,4,1,62.276169830787786,50.68315990167411,100.68477326801782,100.68477326801782,4,0,1,0
Full,1.5C,R10LATIN_AM,gap_GJ_pc,DLE gap,5,1,10.304003333841052,-3.686794462428829,29.9465059912554,29.9465059912554,2,3,1,0
Full,1.5C,R10LATIN_AM,headcount_pct,Deprived headcount,5,1,12.655823642454111,3.265974714304309,27.277158154618842,27.277158154618842,3,2,1,0
Full,1.5C,R10LATIN_AM,mortality_million_deaths,PM2.5 mortality,1,1,-4.601886757065959,-4.601886757065959,-4.601886757065959,-4.601886757065959,0,1,0,1
Full,1.5C,R10LATIN_AM,total_energy_jobyears_per_1k,Employment,4,1,16.72465089985422,11.916996870482116,51.12743826645211,51.12743826645211,2,2,1,0
Full,1.5C,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,5,1,26.062771997737986,36.77330903343644,41.31759590789239,41.31759590789239,4,1,1,0
Full,1.5C,R10MIDDLE_EAST,headcount_pct,Deprived headcount,5,1,27.588211367121545,32.29836183866939,45.740787452300594,45.740787452300594,4,1,1,0
Full,1.5C,R10MIDDLE_EAST,mortality_million_deaths,PM2.5 mortality,1,1,9.198244211149076,9.198244211149076,9.198244211149076,9.198244211149076,1,0,1,0
Full,1.5C,R10MIDDLE_EAST,total_energy_jobyears_per_1k,Employment,4,1,18.5589799894915,14.67598874383524,0.10358561160297147,0.10358561160297147,3,1,1,0
Full,1.5C,R10NORTH_AM,gap_GJ_pc,DLE gap,5,1,22.486320345918116,38.55035507249329,44.11732222006953,44.11732222006953,3,2,1,0
Full,1.5C,R10NORTH_AM,headcount_pct,Deprived headcount,5,1,22.27836354546324,38.663979888349374,43.82767292148432,43.82767292148432,3,2,1,0
Full,1.5C,R10NORTH_AM,mortality_million_deaths,PM2.5 mortality,1,1,-11.45406598558397,-11.45406598558397,-11.45406598558397,-11.45406598558397,0,1,0,1
Full,1.5C,R10NORTH_AM,total_energy_jobyears_per_1k,Employment,4,1,39.305771980215766,32.66272281516496,54.38420505865048,54.38420505865048,3,1,1,0
Full,1.5C,R10PAC_OECD,gap_GJ_pc,DLE gap,5,1,4.025371124503485,-11.610044621336943,56.147148338695125,56.147148338695125,2,3,1,0
Full,1.5C,R10PAC_OECD,headcount_pct,Deprived headcount,5,1,9.4504871731782,-12.495795006742744,55.69381106465613,55.69381106465613,2,3,1,0
Full,1.5C,R10PAC_OECD,mortality_million_deaths,PM2.5 mortality,1,1,2.6535074352475703,2.6535074352475703,2.6535074352475703,2.6535074352475703,1,0,1,0
Full,1.5C,R10PAC_OECD,total_energy_jobyears_per_1k,Employment,4,1,14.575618301398203,15.653673120402509,60.70932757806511,60.70932757806511,2,2,1,0
Full,1.5C,R10REF_ECON,gap_GJ_pc,DLE gap,5,1,-11.94490316358166,-17.785803012189394,56.371627988385356,56.371627988385356,2,3,1,0
Full,1.5C,R10REF_ECON,headcount_pct,Deprived headcount,5,1,-8.360304969908535,11.752908710241137,57.25414742187454,57.25414742187454,3,2,1,0
Full,1.5C,R10REF_ECON,mortality_million_deaths,PM2.5 mortality,1,1,-1.4665938874137852,-1.4665938874137852,-1.4665938874137852,-1.4665938874137852,0,1,0,1
Full,1.5C,R10REF_ECON,total_energy_jobyears_per_1k,Employment,4,1,-1.0958752483205532,-3.345373020714041,5.252779523068672,5.252779523068672,2,2,1,0
Full,1.5C,R10REST_ASIA,gap_GJ_pc,DLE gap,5,1,14.478575700293135,23.26729778578954,42.33186256605194,42.33186256605194,3,2,1,0
Full,1.5C,R10REST_ASIA,headcount_pct,Deprived headcount,5,1,18.393364759719297,20.135182082733564,41.894121434580626,41.894121434580626,4,1,1,0
Full,1.5C,R10REST_ASIA,mortality_million_deaths,PM2.5 mortality,1,1,4.9452237946930175,4.9452237946930175,4.9452237946930175,4.9452237946930175,1,0,1,0
Full,1.5C,R10REST_ASIA,total_energy_jobyears_per_1k,Employment,4,1,37.99331823947436,17.88993197520336,23.811120974491608,23.811120974491608,3,1,1,0
Full,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,6,4,3.5757983433393297,-1.9624254056783808,-9.333003100173807,-5.837585634707175,3,3,1,3
Full,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,6,4,5.620391547059654,0.18058925891309097,-9.492020106628056,-2.847058211860028,3,3,1,3
Full,2C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,5,3,4.201414532981648,3.7385017054392846,5.71333601398973,3.7385017054392846,4,1,3,0
Full,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,6,4,28.886713711376213,11.082627463653772,20.04641675067073,11.082627463653772,4,2,3,1
Full,2C,R10AFRICA,gap_GJ_pc,DLE gap,6,4,3.4651252605597676,-0.7663373112755543,-14.297134229052958,-4.996657468742894,3,3,1,3
Full,2C,R10AFRICA,headcount_pct,Deprived headcount,6,4,4.061813206038897,-0.5836360645686418,-16.102403272816787,-3.410977602358145,3,3,1,3
Full,2C,R10AFRICA,mortality_million_deaths,PM2.5 mortality,5,3,0.2441120041633026,-0.15630413088635897,0.9324282971073663,1.8524273251565753,2,3,2,1
