database,ambition_view,Region,outcome,outcome_label,excluded_family,n_cdr,n_re,median_cdr,median_re,direction_coded_difference,loo_effect_pct,favours,pooled_effect_pct,pooled_favours,direction_flip,influence_shift_pct_points
Full,All ambitions,R10CHINA+,headcount_pct,Deprived share,POLES,233,288,5.400440036769536,4.577858886259597,0.8225811505099392,15.231743059996925,High-RE,11.64628004830229,High-RE,FALSE,3.5854630116946353
Full,All ambitions,R10CHINA+,headcount_pct,Deprived share,REMIND,292,73,5.1720733009461295,4.938407413046049,0.2336658879000808,4.517837901820459,High-RE,11.64628004830229,High-RE,FALSE,7.12844214648183
Full,All ambitions,R10CHINA+,headcount_pct,Deprived share,WITCH,285,281,5.16035771501022,4.580213678153264,0.5801440368569564,11.242322119830163,High-RE,11.64628004830229,High-RE,FALSE,0.40395792847212597
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,AIM,225,222,79.344325,78.81377,0.5305549999999926,0.6686741616366294,High-RE,0.9621268311501312,High-RE,FALSE,0.2934526695135018
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,GCAM,243,221,79.535885,78.72665,0.8092349999999868,1.017446401709099,High-RE,0.9621268311501312,High-RE,FALSE,0.055319570558967746
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,IMAGE,187,224,77.91825,78.778035,-0.8597850000000022,-1.1034449567335025,High-CDR,0.9621268311501312,High-RE,TRUE,2.0655717878836337
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,MESSAGEix,151,202,83.739655,79.34456,4.395094999999998,5.248522936952628,High-RE,0.9621268311501312,High-RE,FALSE,4.286396105802496
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,POLES,186,226,81.28158250000001,78.81377,2.467812500000008,3.036127526183447,High-RE,0.9621268311501312,High-RE,FALSE,2.074000695033316
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,REMIND,246,42,79.579425,77.2574075,2.322017500000001,2.917861620638753,High-RE,0.9621268311501312,High-RE,FALSE,1.955734789488622
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,WITCH,238,219,79.39526000000001,78.71372,0.6815400000000125,0.8584139657707682,High-RE,0.9621268311501312,High-RE,FALSE,0.10371286537936297
Full,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,AIM,252,291,251.09872785215683,391.9288919905088,140.830164138352,56.08557452400583,High-RE,39.95689961878924,High-RE,FALSE,16.12867490521659
Full,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,COFFEE,273,297,283.0225907235266,399.5398821283324,116.5172914048058,41.16890143183901,High-RE,39.95689961878924,High-RE,FALSE,1.212001813049774
Full,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,GCAM,270,300,280.1511161559959,398.78512565488336,118.63400949888745,42.34643471233887,High-RE,39.95689961878924,High-RE,FALSE,2.3895350935496324
Full,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,IMAGE,204,303,254.16900931307651,396.0602262836254,141.8912169705489,55.82553803629626,High-RE,39.95689961878924,High-RE,FALSE,15.868638417507022
Full,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,MESSAGEix,174,278,393.7953954646616,402.21257377989815,8.417178315236526,2.1374496533420912,High-RE,39.95689961878924,High-RE,FALSE,37.81944996544715
Full,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,POLES,213,296,230.39247336313892,395.4746222404299,165.08214887729096,71.65257895256525,High-RE,39.95689961878924,High-RE,FALSE,31.695679333776013
Full,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,REMIND,272,81,283.64952045095197,355.893546437213,72.24402598626102,25.469468755457775,High-RE,39.95689961878924,High-RE,FALSE,14.487430863331461
