database,ambition_view,Region,outcome,outcome_label,family,n_cdr,n_re,median_cdr,median_re,direction_coded_difference,loo_effect_pct,favours,pooled_effect_pct,pooled_favours,direction_flip,influence_shift_pct_points,family_n_cdr,family_n_re,family_effect_pct,family_favours,family_robust,family_agrees_with_pooled,targeted,target_reason
Full,2C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,MESSAGEix,117,151,427.06152,427.702645,-0.641125000000045,-0.15012474081018704,High-CDR,1.333415619537075,High-RE,TRUE,1.483540360347262,72,21,3.7385017054392846,High-RE,TRUE,TRUE,TRUE,Pooled direction flips when family is excluded
Full,2C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,IMAGE,153,170,433.918965,434.137855,-0.2188899999999876,-0.050444902771186226,High-CDR,1.333415619537075,High-RE,TRUE,1.3838605223082612,36,2,4.116918434934257,High-RE,FALSE,TRUE,TRUE,Pooled direction flips when family is excluded
SCI-vetted,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,POLES,26,69,257.507829760795,423.27276987230044,165.76494011150544,64.37277665129186,High-RE,20.68018072759774,High-RE,FALSE,43.692595923694114,43,0,NA,NA,FALSE,FALSE,TRUE,Large leave-one-family-out magnitude shift
SCI-vetted,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,WITCH,69,41,350.7392575320401,527.1238490953752,176.38459156333516,50.2893781564279,High-RE,20.68018072759774,High-RE,FALSE,29.60919742883016,0,28,NA,NA,FALSE,FALSE,TRUE,Large leave-one-family-out magnitude shift
SCI-vetted,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,REMIND,69,42,19.1127086387263,31.798332130283057,-12.685623491556758,-66.37271425701044,High-CDR,3.747947093296809,High-RE,TRUE,70.12066135030726,0,27,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
SCI-vetted,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,POLES,26,69,16.313886491944857,18.39637443085087,-2.082487938906013,-12.765124606783687,High-CDR,3.747947093296809,High-RE,TRUE,16.513071700080495,43,0,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
SCI-vetted,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GCAM,69,62,19.1127086387263,21.333722225676738,-2.2210135869504377,-11.620611337370596,High-CDR,3.747947093296809,High-RE,TRUE,15.368558430667404,0,7,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
SCI-vetted,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,WITCH,69,41,19.1127086387263,14.038355002320383,5.074353636405917,26.549631097939866,High-RE,3.747947093296809,High-RE,FALSE,22.801684004643057,0,28,NA,NA,FALSE,FALSE,TRUE,Large leave-one-family-out magnitude shift
SCI-vetted,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,REMIND,69,42,6.950699586557095,12.597407529261599,-5.646707942704504,-81.23941874319303,High-CDR,1.2722345484502253,High-RE,TRUE,82.51165329164326,0,27,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
SCI-vetted,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,GCAM,69,62,6.950699586557095,7.9442485928766935,-0.9935490063195989,-14.29423029936668,High-CDR,1.2722345484502253,High-RE,TRUE,15.566464847816905,0,7,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
