database,Model,Scenario,Pathway,amb,family,project,Region,outcome,value,outcome_label,outcome_unit,lower_is_better
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,High-RE,1.5C,AIM,ENGAGE,R10EUROPE,total_energy_jobyears_per_1k,223.76673574131314,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,High-RE,1.5C,AIM,ENGAGE,R10INDIA+,total_energy_jobyears_per_1k,356.36199928585194,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,High-RE,1.5C,AIM,ENGAGE,R10LATIN_AM,total_energy_jobyears_per_1k,177.37454941362688,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,High-RE,1.5C,AIM,ENGAGE,R10MIDDLE_EAST,total_energy_jobyears_per_1k,385.95976762748535,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,High-RE,1.5C,AIM,ENGAGE,R10NORTH_AM,total_energy_jobyears_per_1k,382.34856408711244,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,High-RE,1.5C,AIM,ENGAGE,R10PAC_OECD,total_energy_jobyears_per_1k,234.73903156085174,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,High-RE,1.5C,AIM,ENGAGE,R10REF_ECON,total_energy_jobyears_per_1k,1416.298672415827,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,High-RE,1.5C,AIM,ENGAGE,R10REST_ASIA,total_energy_jobyears_per_1k,290.13239497227903,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,High-RE,2C,AIM,ENGAGE,R10AFRICA,total_energy_jobyears_per_1k,221.4724229874942,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,High-RE,2C,AIM,ENGAGE,R10CHINA+,total_energy_jobyears_per_1k,585.7483882903493,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,High-RE,2C,AIM,ENGAGE,R10EUROPE,total_energy_jobyears_per_1k,276.8300304100879,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,High-RE,2C,AIM,ENGAGE,R10INDIA+,total_energy_jobyears_per_1k,522.4969469001171,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,High-RE,2C,AIM,ENGAGE,R10LATIN_AM,total_energy_jobyears_per_1k,213.6943505858153,Employment,"total energy-sector job-years per 1,000 people",FALSE
