database,ambition_view,Region,outcome,outcome_label,outcome_unit,lower_is_better,n_cdr,n_re,median_cdr,median_re,cliffs_delta_raw,direction_coded_difference,relative_effect_pct,direction_coded_cliffs_delta,favours
Full,All ambitions,R10REF_ECON,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,246,226,14.1653725,13.2108975,-0.45474494567954526,0.9544750000000004,6.738086132221376,0.45474494567954526,High-RE
Full,All ambitions,R10REF_ECON,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,273,305,784.8466479759098,902.3060990240814,0.1885185852398967,117.45945104817156,14.9659110287462,0.1885185852398967,High-RE
Full,All ambitions,R10REST_ASIA,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,290,297,9.359297905886857,18.678155689889063,0.3128758852896784,-9.318857784002207,-99.56791500504313,-0.3128758852896784,High-CDR
Full,All ambitions,R10REST_ASIA,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,290,297,4.899189340900887,4.709020548770932,0.04880993846511088,0.1901687921299553,3.8816379383897446,-0.04880993846511088,High-RE
Full,All ambitions,R10REST_ASIA,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,246,226,58.97830999999999,57.40043,-0.11533203827613497,1.5778799999999933,2.6753564149260862,0.11533203827613497,High-RE
Full,All ambitions,R10REST_ASIA,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,270,305,188.7577226535162,666.2834764812283,0.817899210686096,477.52575382771204,252.98342611616405,0.817899210686096,High-RE
Full,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,67,67,26.19954884931114,17.949805609800375,-0.5504566718645578,8.249743239510764,31.488111825741125,0.5504566718645578,High-RE
Full,1.5C,Aggregated R10 regions,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,67,67,6.973886989387415,4.5835605549488765,-0.537090666072622,2.3903264344385384,34.27538240978155,0.537090666072622,High-RE
Full,1.5C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,57,54,425.807625,417.9452725,-0.4437946718648473,7.862352499999986,1.8464564837231334,0.4437946718648473,High-RE
Full,1.5C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,58,67,358.0599002019925,748.6547433260449,0.9181677817807514,390.59484312405243,109.08645254710342,0.9181677817807514,High-RE
Full,1.5C,R10AFRICA,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,67,67,68.5914596440265,42.635911921181574,-0.4105591445756293,25.955547722844926,37.84078638586801,0.4105591445756293,High-RE
Full,1.5C,R10AFRICA,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,67,67,12.607889298358463,8.794304385154463,-0.3815994653597683,3.813584913204,30.247607850590228,0.3815994653597683,High-RE
Full,1.5C,R10AFRICA,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,57,54,75.436235,78.456135,0.49057829759584143,-3.019900000000007,-4.00324857145907,-0.49057829759584143,High-CDR
Full,1.5C,R10AFRICA,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,58,67,329.39653459184615,1052.4229628263715,0.8569222851260937,723.0264282345254,219.50031415188516,0.8569222851260937,High-RE
Full,1.5C,R10CHINA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,67,67,22.566014859473174,15.72640394203071,-0.8364891958119849,6.839610917442464,30.30934332018844,0.8364891958119849,High-RE
Full,1.5C,R10CHINA+,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,67,67,7.124713827909219,5.052711342918753,-0.7870349743818222,2.072002484990466,29.081904691721558,0.7870349743818222,High-RE
Full,1.5C,R10CHINA+,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,57,54,78.93552,78.52739,-0.05263157894736842,0.4081299999999999,0.5170422643697031,0.05263157894736842,High-RE
Full,1.5C,R10CHINA+,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,58,67,312.21882513870634,450.6392965003281,0.716932578486876,138.42047136162176,44.33444117283033,0.716932578486876,High-RE
Full,1.5C,R10EUROPE,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,67,67,0.9121647490192852,0.2048659642012658,-0.7830251726442414,0.7072987848180194,77.54068391466261,0.7830251726442414,High-RE
Full,1.5C,R10EUROPE,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,67,67,0.3501294076873935,0.10730156173707828,-0.7175317442637559,0.2428278459503152,69.35374196477649,0.7175317442637559,High-RE
Full,1.5C,R10EUROPE,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,57,54,15.678805,11.26678,-0.8771929824561403,4.412025,28.140059143538043,0.8771929824561403,High-RE
Full,1.5C,R10EUROPE,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,58,67,160.28467718425668,197.48258513690908,0.36438497169325784,37.1979079526524,23.207401110395107,0.36438497169325784,High-RE
Full,1.5C,R10INDIA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,67,67,7.305474943702659,2.5225446767624304,-0.7986188460681666,4.7829302669402285,65.47049033496621,0.7986188460681666,High-RE
Full,1.5C,R10INDIA+,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,67,67,2.6686637773681157,1.2618658490204266,-0.7772332368010693,1.406797928347689,52.715442847397526,0.7772332368010693,High-RE
Full,1.5C,R10INDIA+,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,57,54,112.90542,106.278505,-0.38791423001949316,6.626915000000011,5.869439217355562,0.38791423001949316,High-RE
Full,1.5C,R10INDIA+,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,58,67,363.0686451252857,1069.3170202853262,0.952650540401441,706.2483751600405,194.5219959482682,0.952650540401441,High-RE
Full,1.5C,R10LATIN_AM,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,67,67,82.74299606503139,49.3317176622267,-0.7135219425261751,33.41127840280469,40.379584970001915,0.7135219425261751,High-RE
Full,1.5C,R10LATIN_AM,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,67,67,17.35015423576865,9.67781756542745,-0.7193138783693473,7.672336670341199,44.22056752973469,0.7193138783693473,High-RE
Full,1.5C,R10LATIN_AM,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,57,54,15.185745,15.61344,0.07082521117608837,-0.42769499999999994,-2.816424218897393,-0.07082521117608837,High-CDR
Full,1.5C,R10LATIN_AM,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,58,67,361.21577085369995,574.4231514231002,0.5733401955738548,213.20738056940024,59.02493683083227,0.5733401955738548,High-RE
Full,1.5C,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,67,67,4.264476467575941,5.431616240042704,0.15214969926486968,-1.1671397724667631,-27.368887631128167,-0.15214969926486968,High-CDR
Full,1.5C,R10MIDDLE_EAST,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,67,67,1.7134048701859377,1.3919062838264715,-0.08398306972599688,0.32149858635946615,18.76372548915291,0.08398306972599688,High-RE
Full,1.5C,R10MIDDLE_EAST,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,57,54,55.288645,46.253277499999996,-0.03833658219623132,9.035367500000007,16.34217568544139,0.03833658219623132,High-RE
Full,1.5C,R10MIDDLE_EAST,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,58,67,478.724761056395,883.7582264466162,0.6726711271230057,405.0334653902212,84.60675075516038,0.6726711271230057,High-RE
Full,1.5C,R10NORTH_AM,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,67,67,0.27432726681393654,0.15538057145278245,-0.3615504566718646,0.1189466953611541,43.35941401035797,0.3615504566718646,High-RE
Full,1.5C,R10NORTH_AM,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,67,67,0.07258682274870146,0.04668024703229937,-0.30719536645132545,0.025906575716402085,35.69046658247008,0.30719536645132545,High-RE
Full,1.5C,R10NORTH_AM,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,57,54,7.42729,8.92639,0.5269655620532814,-1.4990999999999994,-20.183673991455827,-0.5269655620532814,High-CDR
Full,1.5C,R10NORTH_AM,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,58,67,331.59468276228347,376.15684005403574,0.30880082346886256,44.56215729175227,13.43874302221498,0.30880082346886256,High-RE
Full,1.5C,R10PAC_OECD,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,67,67,0.5021907479049891,0.6678363207321173,0.03541991534862998,-0.16564557282712822,-32.98459271067001,-0.03541991534862998,High-CDR
Full,1.5C,R10PAC_OECD,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,67,67,0.21295441561381456,0.34360414756283825,0.1797727779015371,-0.13064973194902368,-61.351032131661654,-0.1797727779015371,High-CDR
Full,1.5C,R10PAC_OECD,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,57,54,5.24925,3.6120900000000002,-0.9603638726445743,1.6371599999999997,31.188455493641946,0.9603638726445743,High-RE
Full,1.5C,R10PAC_OECD,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,58,67,177.96008241876066,171.03858647509136,-0.05970149253731343,-6.921495943669299,-3.8893530782831505,-0.05970149253731343,High-CDR
Full,1.5C,R10REF_ECON,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,67,67,12.138786920007432,9.988113001498569,-0.3388282468255736,2.150673918508863,17.71737104112168,0.3388282468255736,High-RE
Full,1.5C,R10REF_ECON,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,67,67,3.290067119580295,2.371377793588878,-0.42303408331476944,0.9186893259914171,27.923118058108543,0.42303408331476944,High-RE
Full,1.5C,R10REF_ECON,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,57,54,13.85288,13.053595000000001,-0.7563352826510721,0.7992849999999994,5.769811042902265,0.7563352826510721,High-RE
Full,1.5C,R10REF_ECON,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,58,67,848.9438914216829,1009.1159356648618,0.07925887802367473,160.1720442431789,18.867212057436088,0.07925887802367473,High-RE
Full,1.5C,R10REST_ASIA,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,67,67,11.11803746101048,21.14595159932129,0.170416573847182,-10.027914138310809,-90.19500225176797,-0.170416573847182,High-CDR
Full,1.5C,R10REST_ASIA,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,67,67,6.071551921040245,5.27830631645765,-0.05324125640454444,0.7932456045825953,13.064956289572299,0.05324125640454444,High-RE
Full,1.5C,R10REST_ASIA,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,57,54,55.86006,55.9140625,-0.13450292397660818,-0.05400250000000284,-0.09667461868104482,0.13450292397660818,High-CDR
Full,1.5C,R10REST_ASIA,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,58,67,222.68744914584744,917.1961572332673,0.9490478641276376,694.5087080874198,311.8759996359546,0.9490478641276376,High-RE
Full,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,223,226,22.04288845564124,16.83581334752425,-0.25596253819596015,5.207075108116989,23.622471794454814,0.25596253819596015,High-RE
Full,2C,Aggregated R10 regions,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,223,226,5.774099363425409,4.380272083374919,-0.24362077860232548,1.3938272800504903,24.139301946886143,0.24362077860232548,High-RE
Full,2C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,189,172,440.495065,434.621435,-0.14199581641442108,5.8736299999999915,1.333415619537075,0.14199581641442108,High-RE
Full,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,212,234,294.40860114420377,542.5116411267561,0.745565231414288,248.10303998255233,84.27166836101688,0.745565231414288,High-RE
Full,2C,R10AFRICA,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,223,230,66.59168801652324,39.907730283404575,-0.2561902905049717,26.68395773311866,40.071003646127174,0.2561902905049717,High-RE
Full,2C,R10AFRICA,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,223,230,11.267359342481392,8.041494718608334,-0.2519009553519205,3.2258646238730577,28.630174345381544,0.2519009553519205,High-RE
Full,2C,R10AFRICA,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,189,172,76.67628,78.687545,0.4710840408514827,-2.0112649999999945,-2.6230602214922194,-0.4710840408514827,High-CDR
Full,2C,R10AFRICA,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,212,238,278.3390997443338,754.92722354545,0.7163469161249405,476.58812380111624,171.2257186427931,0.7163469161249405,High-RE
Full,2C,R10CHINA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,226,230,16.36164109411005,14.178789031075942,-0.3285494420931127,2.1828520630341064,13.341278240236557,0.3285494420931127,High-RE
Full,2C,R10CHINA+,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,226,230,4.882251291993676,4.514830914586673,-0.2208541746825702,0.3674203774070026,7.525634291080619,0.2208541746825702,High-RE
Full,2C,R10CHINA+,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,189,172,79.6431,78.890895,-0.02823920265780731,0.7522050000000036,0.9444697657424228,0.02823920265780731,High-RE
Full,2C,R10CHINA+,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,215,238,251.65311943858796,382.8479082471947,0.3142075434825093,131.19478880860675,52.13318599081495,0.3142075434825093,High-RE
Full,2C,R10EUROPE,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,226,230,0.3607053082243253,0.19999386452648543,-0.45586764140053865,0.16071144369783985,44.554776443126876,0.45586764140053865,High-RE
Full,2C,R10EUROPE,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,226,230,0.13286065394626256,0.10285793049513647,-0.2804155444401693,0.03000272345112609,22.58209828115187,0.2804155444401693,High-RE
Full,2C,R10EUROPE,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,189,172,15.090355,11.23325,-0.6579918789221115,3.8571050000000007,25.560068003701705,0.6579918789221115,High-RE
Full,2C,R10EUROPE,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,215,238,153.56532766569075,157.33641960260053,-0.015634160641000587,3.7710919369097837,2.455692306481702,-0.015634160641000587,High-RE
Full,2C,R10INDIA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,223,230,5.821209803713821,2.360891914713119,-0.6527588223825307,3.4603178890007023,59.44327735435829,0.6527588223825307,High-RE
Full,2C,R10INDIA+,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,223,230,2.1975682135191934,1.1581228617967307,-0.5895106258529927,1.0394453517224627,47.2997991747383,0.5895106258529927,High-RE
Full,2C,R10INDIA+,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,189,172,120.71229,113.02140750000001,-0.16506706041589764,7.6908824999999865,6.3712505992554584,0.16506706041589764,High-RE
Full,2C,R10INDIA+,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,212,238,347.1923421875433,775.3671643585315,0.7171000475661963,428.17482217098814,123.32496145312456,0.7171000475661963,High-RE
Full,2C,R10LATIN_AM,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,226,230,68.25040184824147,51.411855581209196,-0.4458253174297807,16.83854626703227,24.67171739805094,0.4458253174297807,High-RE
