database,ambition_view,Region,outcome,outcome_label,n_comparable_cells,n_robust_cells,matched_cell_mean_pct,matched_cell_median_pct,robust_matched_cell_mean_pct,robust_matched_cell_median_pct,cells_favour_re,cells_favour_cdr,robust_cells_favour_re,robust_cells_favour_cdr,total_cdr_support,total_re_support
Full,2C,R10CHINA+,gap_GJ_pc,DLE gap,7,3,-0.6976754658451353,-4.723044556781676,-10.601227429110825,-8.009333853672224,3,4,0,3,155,44
Full,2C,R10CHINA+,headcount_pct,Deprived share,7,3,-0.7122665630549723,-7.607774131035996,-9.29612262225016,-8.90340810349747,2,5,0,3,155,44
Full,2C,R10CHINA+,mortality_million_deaths,PM2.5 mortality,6,2,1.9466176997774343,2.5737615427081124,3.818286421550562,3.818286421550562,4,2,2,0,97,26
Full,2C,R10CHINA+,total_energy_jobyears_per_1k,Employment,7,3,29.489777646871726,28.134831285422514,2.5409719631641168,8.452553824614892,6,1,2,1,155,44
Full,2C,R10EUROPE,gap_GJ_pc,DLE gap,7,3,-35.479962704196986,-9.059674313091472,-46.03654147140662,-9.059674313091472,2,5,0,3,155,44
Full,2C,R10EUROPE,headcount_pct,Deprived share,7,3,-32.041704902655596,-13.935929316829714,-35.44204113846121,-13.935929316829714,2,5,0,3,155,44
Full,2C,R10EUROPE,mortality_million_deaths,PM2.5 mortality,6,2,4.565441133401927,3.9544823647278173,4.840690810951813,4.840690810951813,5,1,2,0,97,26
Full,2C,R10EUROPE,total_energy_jobyears_per_1k,Employment,7,3,14.120906857882813,7.421987483384215,8.938329393388896,7.421987483384215,6,1,2,1,155,44
Full,2C,R10INDIA+,gap_GJ_pc,DLE gap,7,3,4.772457777285339,4.458291793124579,-6.358312304808572,-1.0310527759847403,4,3,1,2,155,44
Full,2C,R10INDIA+,headcount_pct,Deprived share,7,3,5.3230514588893065,-2.0008307468355393,-1.014128226416019,-2.0008307468355393,3,4,1,2,155,44
Full,2C,R10INDIA+,mortality_million_deaths,PM2.5 mortality,6,2,3.8362903648326876,2.1567061713810194,5.2524497238201135,5.2524497238201135,4,2,2,0,97,26
Full,2C,R10INDIA+,total_energy_jobyears_per_1k,Employment,7,3,32.86753269676897,21.06653275039832,16.23485016630108,17.504271383272634,6,1,3,0,155,44
Full,2C,R10LATIN_AM,gap_GJ_pc,DLE gap,7,3,2.803590966414522,-4.085744634574415,-4.998480404513822,-4.481206813321609,3,4,1,2,155,44
Full,2C,R10LATIN_AM,headcount_pct,Deprived share,7,3,3.305403346419299,0.3979802252176455,-1.9107892898789243,0.3979802252176455,4,3,2,1,155,44
Full,2C,R10LATIN_AM,mortality_million_deaths,PM2.5 mortality,6,2,1.2737874396251494,0.9424062799350099,0.48393027263556765,0.48393027263556765,5,1,2,0,97,26
Full,2C,R10LATIN_AM,total_energy_jobyears_per_1k,Employment,7,3,5.748209701997884,12.563843954685561,-13.986720250157799,-11.087698377821294,5,2,1,2,155,44
Full,2C,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,7,3,15.124776943527552,16.115793700346046,7.270922370670866,16.115793700346046,5,2,2,1,155,44
Full,2C,R10MIDDLE_EAST,headcount_pct,Deprived share,7,3,13.465454589801631,10.338824232854746,4.9713531074583575,10.338824232854746,4,3,2,1,155,44
Full,2C,R10MIDDLE_EAST,mortality_million_deaths,PM2.5 mortality,6,2,2.6849941307403364,2.198178251842301,2.1750719361548954,2.1750719361548954,6,0,2,0,97,26
Full,2C,R10MIDDLE_EAST,total_energy_jobyears_per_1k,Employment,7,3,87.00089455168998,18.138105380813432,22.713574675344923,18.138105380813432,6,1,3,0,155,44
Full,2C,R10NORTH_AM,gap_GJ_pc,DLE gap,7,3,-36.8019758962715,-39.67139226659181,-16.59920410426626,-39.67139226659181,3,4,1,2,155,44
Full,2C,R10NORTH_AM,headcount_pct,Deprived share,7,3,-48.31596241822421,-50.151091608693164,-20.384202205906917,-50.151091608693164,3,4,1,2,155,44
Full,2C,R10NORTH_AM,mortality_million_deaths,PM2.5 mortality,6,2,0.5381908248374927,2.2870699468687348,1.6786302707346388,1.6786302707346388,5,1,2,0,97,26
Full,2C,R10NORTH_AM,total_energy_jobyears_per_1k,Employment,7,3,16.3996277560408,5.116947151565302,22.535921659940158,2.385218971524083,5,2,2,1,155,44
