database,ambition_view,Region,outcome,outcome_label,outcome_unit,lower_is_better,family,n_cdr,n_re,median_cdr,median_re,cliffs_delta_raw,comparable,robust,direction_coded_difference,relative_effect_pct,direction_coded_cliffs_delta,favours,pooled_effect_pct,pooled_favours,agrees_with_pooled
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,REMIND,1,224,103.71061073315852,40.45370927786709,-0.9642857142857143,TRUE,FALSE,63.25690145529143,60.99366401191853,0.9642857142857143,High-RE,34.965248773756265,High-RE,TRUE
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,TIAM,0,0,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,34.965248773756265,High-RE,FALSE
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,WITCH,8,16,204.24671314481128,90.99231372457163,-0.96875,TRUE,TRUE,113.25439942023965,55.4498026805171,0.96875,High-RE,34.965248773756265,High-RE,TRUE
Full,All ambitions,R10AFRICA,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,AIM,21,14,60.927976765088744,63.20318228668108,0.40816326530612246,TRUE,TRUE,-2.2752055215923335,-3.734254184025373,-0.40816326530612246,High-CDR,34.02733697393266,High-RE,FALSE
Full,All ambitions,R10AFRICA,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,COFFEE,0,0,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,34.02733697393266,High-RE,FALSE
Full,All ambitions,R10AFRICA,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,GCAM,33,5,15.305745982746789,26.50347579180113,0.9515151515151515,TRUE,TRUE,-11.19772980905434,-73.16030085483479,-0.9515151515151515,High-CDR,34.02733697393266,High-RE,FALSE
Full,All ambitions,R10AFRICA,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,IMAGE,68,2,29.132286161088977,18.984756064520674,-0.9411764705882353,TRUE,FALSE,10.147530096568303,34.83259103132805,0.9411764705882353,High-RE,34.02733697393266,High-RE,TRUE
Full,All ambitions,R10AFRICA,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,MESSAGEix,99,27,17.367517241207324,16.42391972032326,0.18144407033295923,TRUE,TRUE,0.9435975208840652,5.433116937665812,-0.18144407033295923,High-RE,34.02733697393266,High-RE,TRUE
Full,All ambitions,R10AFRICA,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,POLES,60,9,36.310044194837836,35.322846233330914,-0.14814814814814814,TRUE,TRUE,0.9871979615069222,2.7188013217766094,0.14814814814814814,High-RE,34.02733697393266,High-RE,TRUE
Full,All ambitions,R10AFRICA,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,REMIND,1,224,41.484566256559766,16.155446567672115,-0.9642857142857143,TRUE,FALSE,25.32911968888765,61.056730187898424,0.9642857142857143,High-RE,34.02733697393266,High-RE,TRUE
Full,All ambitions,R10AFRICA,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,TIAM,0,0,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,34.02733697393266,High-RE,FALSE
Full,All ambitions,R10AFRICA,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,WITCH,8,16,78.20925908581881,33.441509246369286,-0.921875,TRUE,TRUE,44.76774983944953,57.24098445981439,0.921875,High-RE,34.02733697393266,High-RE,TRUE
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,AIM,21,4,79.651575,80.680865,0.8095238095238095,TRUE,TRUE,-1.0292900000000031,-1.2922406116891012,-0.8095238095238095,High-CDR,-2.9552076524496242,High-CDR,TRUE
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,GCAM,3,5,86.122715,82.232155,-0.6,TRUE,TRUE,3.8905599999999936,4.517460927700657,0.6,High-RE,-2.9552076524496242,High-CDR,FALSE
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,IMAGE,59,2,77.36427,78.24088499999999,0.22033898305084745,TRUE,FALSE,-0.8766149999999868,-1.1331005902336915,-0.22033898305084745,High-CDR,-2.9552076524496242,High-CDR,TRUE
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,MESSAGEix,95,24,76.887215,75.6258,-0.6859649122807018,TRUE,TRUE,1.2614149999999995,1.6406043579546996,0.6859649122807018,High-RE,-2.9552076524496242,High-CDR,FALSE
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,POLES,60,0,72.3121075,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-2.9552076524496242,High-CDR,FALSE
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,REMIND,0,184,NA,78.63811,NA,FALSE,FALSE,NA,NA,NA,NA,-2.9552076524496242,High-CDR,FALSE
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,WITCH,8,7,66.8499275,67.02862,0.39285714285714285,TRUE,TRUE,-0.1786924999999968,-0.26730395481729846,-0.39285714285714285,High-CDR,-2.9552076524496242,High-CDR,TRUE
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,AIM,21,14,210.18850911134115,204.0993457114182,-0.2108843537414966,TRUE,TRUE,-6.089163399922938,-2.8970010899584353,-0.2108843537414966,High-CDR,165.17961596465645,High-RE,FALSE
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,COFFEE,0,8,NA,112.83411823428038,NA,FALSE,FALSE,NA,NA,NA,NA,165.17961596465645,High-RE,FALSE
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,GCAM,3,5,322.59716900141126,1065.411222382452,1,TRUE,TRUE,742.8140533810408,230.26056170312867,1,High-RE,165.17961596465645,High-RE,TRUE
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,IMAGE,66,2,258.0331475642134,787.1938619580692,0.8787878787878788,TRUE,FALSE,529.1607143938559,205.07470431184447,0.8787878787878788,High-RE,165.17961596465645,High-RE,TRUE
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,MESSAGEix,99,27,290.16311386136897,290.30136010908734,0.01833146277590722,TRUE,TRUE,0.1382462477183708,0.047644321801847155,0.01833146277590722,High-RE,165.17961596465645,High-RE,TRUE
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,POLES,60,9,414.3723988172095,388.4287040148198,-0.6333333333333333,TRUE,TRUE,-25.9436948023897,-6.2609611249310415,-0.6333333333333333,High-CDR,165.17961596465645,High-RE,FALSE
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,REMIND,1,224,496.87016506176064,911.2877894026217,0.875,TRUE,FALSE,414.41762434086104,83.40561649326423,0.875,High-RE,165.17961596465645,High-RE,TRUE
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,TIAM,12,0,51.858259836517064,NA,NA,FALSE,FALSE,NA,NA,NA,NA,165.17961596465645,High-RE,FALSE
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,WITCH,8,16,224.08081036681415,543.799956464167,0.765625,TRUE,TRUE,319.7191460973529,142.68028822904623,0.765625,High-RE,165.17961596465645,High-RE,TRUE
Full,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,AIM,21,14,0.8695232692560625,0.939117576668155,0.12244897959183673,TRUE,TRUE,-0.0695943074120925,-8.00373145524159,-0.12244897959183673,High-CDR,21.28567951449343,High-RE,FALSE
Full,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,COFFEE,0,0,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,21.28567951449343,High-RE,FALSE
Full,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,GCAM,33,5,0.8462887148590313,0.6144576399789609,-0.793939393939394,TRUE,TRUE,0.2318310748800705,27.39385162647327,0.793939393939394,High-RE,21.28567951449343,High-RE,TRUE
Full,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,IMAGE,71,2,0.9837271919307342,0.8272793840783903,-0.5211267605633803,TRUE,FALSE,0.1564478078523439,15.90357663543773,0.5211267605633803,High-RE,21.28567951449343,High-RE,TRUE
Full,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,MESSAGEix,99,27,0.9589981048788607,0.9122571752837011,-0.2143658810325477,TRUE,TRUE,0.04674092959515963,4.8739334684153395,0.2143658810325477,High-RE,21.28567951449343,High-RE,TRUE
Full,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,POLES,60,9,0.5097641496473468,0.7199397640717115,0.8185185185185185,TRUE,TRUE,-0.2101756144243646,-41.22997165841564,-0.8185185185185185,High-CDR,21.28567951449343,High-RE,FALSE
Full,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,REMIND,1,224,1.2352792100665093,0.6507038463329426,-0.9910714285714286,TRUE,FALSE,0.5845753637335667,47.323338640346115,0.9910714285714286,High-RE,21.28567951449343,High-RE,TRUE
Full,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,TIAM,0,0,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,21.28567951449343,High-RE,FALSE
Full,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,WITCH,8,16,1.551314669750258,0.6246965311401357,-0.921875,TRUE,TRUE,0.9266181386101223,59.731152981315915,0.921875,High-RE,21.28567951449343,High-RE,TRUE
